110	70	110	110	70	70	110	70
150	50	100	110	75	80	120	70
120	60	100	100	50	50	120	50
125	75	100	120	80	80	140	75
100	50	100	100	50	50	120	60
110	75	100	100	65	105	70	65
130	70	130	130	70	60	130	50
120	70	110	110	75	60	110	50
100	50	100	100	50	50	120	50
110	60	100	120	60	60	100	50
120	80	110	100	80	80	100	60
120	70	115	115	75	65	110	75
140	60	120	110	80	70	130	80
110	70	100	100	70	70	100	60
120	70	110	100	70	70	110	60
120	80	100	100	60	60	120	80
120	75	100	100	90	90	110	70
110	70	100	100	70	70	100	60
100	50	100	100	60	50	100	50
130	80	125	125	90	90	150	80
100	67	101	102	84.2	80	110	76
110	60	100	90	60	60	110	60
100	50	100	100	50	50	100	50
130	90	120	120	100	100	150	80
130	70	130	130	90	80	140	80
125	75	100	100	75	70	125	75
