Line Length,Line Angle,Arrow Length,Arrow Angle,Estimate 1,Estimate 2,Estimate 3,Estimate 4
100,0,40,30,60,70,70,70
140,0,40,30,90,90,90,90
180,0,40,30,110,100,110,100
100,0,2.309401e+01,30,75,80,70,80
140,0,2.309401e+01,30,80,100,80,90
180,0,2.309401e+01,30,110,110,100,100
100,0,40,60,70,90,70,70
140,0,40,60,100,100,100,90
180,0,40,60,110,110,110,100
100,0,2.309401e+01,60,70,90,90,80
140,0,2.309401e+01,60,100,100,100,90
180,0,2.309401e+01,60,110,110,100,100
100,0,40,120,80,90,80,80
140,0,40,120,100,100,90,100
180,0,40,120,120,120,110,110
100,0,2.309401e+01,120,90,80,90,70
140,0,2.309401e+01,120,100,110,90,0
180,0,2.309401e+01,120,110,110,110,100
100,0,40,150,80,100,80,80
140,0,40,150,110,110,110,90
180,0,40,150,120,110,12,110
100,0,2.309401e+01,150,90,100,90,90
140,0,2.309401e+01,150,100,100,110,90
180,0,2.309401e+01,150,120,120,100,100
