sub block trial obj foil exp maze DP turn attend pos resp1 resp2 resp3 RT1 RT2 RT3 correct1 correct2 correct3
Subject 05 -- attend vehicles
05 1 01 38 0 1 2 3 +1 0 +1 2 NaN NaN 02.5465 00.0000 00.0000 0 NaN NaN
05 1 02 2 0 1 1 1 +1 0 +1 1 1 1 02.4829 00.9701 07.7929 1 1 0
05 1 03 43 0 1 1 1 +1 0 +1 1 1 2 02.1807 04.4087 01.3434 1 1 1
05 1 04 1 0 1 2 1 -1 0 -1 1 2 1 01.7765 00.9971 01.8825 1 1 1
05 1 05 23 0 1 1 1 -1 1 +1 1 1 1 04.1171 00.5519 02.1120 1 1 1
05 1 06 1 0 1 2 1 -1 1 -1 2 NaN NaN 02.0817 00.0000 00.0000 0 NaN NaN
05 1 07 24 1 0 0 0 +0 0 +0 2 NaN NaN 01.3486 00.0000 00.0000 1 NaN NaN
05 1 08 41 0 1 2 4 +1 0 +1 2 NaN NaN 01.6863 00.0000 00.0000 0 NaN NaN
05 1 09 44 0 1 2 3 -1 0 -1 1 2 2 01.8180 00.4614 01.5931 1 1 0
05 1 10 14 0 1 1 1 -1 0 -1 1 2 1 01.7124 00.8076 01.2213 1 0 1
05 1 11 48 0 1 1 4 +1 1 -1 2 NaN NaN 01.5806 00.0000 00.0000 0 NaN NaN
05 1 12 43 0 1 1 1 +1 1 +1 1 2 1 01.5246 03.5072 01.6810 1 0 0
05 1 13 8 0 1 1 1 -1 0 +1 1 2 2 03.7006 03.6408 02.6878 1 0 0
05 1 14 11 0 1 1 3 +1 1 +1 1 1 2 02.4570 02.5776 01.2691 1 1 1
05 1 15 26 0 1 2 4 -1 0 +1 1 2 1 02.0898 01.8737 00.9146 1 1 1
05 1 16 47 1 0 0 0 +0 0 +0 2 NaN NaN 01.1428 00.0000 00.0000 1 NaN NaN
05 1 17 15 1 0 0 0 +0 0 +0 2 NaN NaN 00.9287 00.0000 00.0000 1 NaN NaN
05 1 18 12 0 1 2 1 +1 1 +1 1 1 1 00.9632 00.5062 00.7244 1 0 0
05 1 19 42 0 1 1 1 +1 1 -1 1 1 1 02.3998 00.7466 00.4586 1 1 0
05 1 20 2 0 1 2 3 +1 1 -1 1 2 1 01.5214 00.4640 01.9487 1 1 0
05 1 21 20 0 1 1 4 -1 1 +1 1 1 2 02.4207 01.2626 00.5841 1 1 0
05 1 22 3 0 1 2 3 -1 0 +1 2 NaN NaN 01.2093 00.0000 00.0000 0 NaN NaN
