Line Length,Line Angle,Arrow Length,Arrow Angle,Estimate 1,Estimate 2,Estimate 3,Estimate 4
100,0,40,30,50,50,50,40
140,0,40,30,80,60,70,70
180,0,40,30,100,80,90,90
100,0,2.309401e+01,30,50,50,50,40
140,0,2.309401e+01,30,80,80,60,60
180,0,2.309401e+01,30,100,100,100,100
100,0,40,60,30,50,50,40
140,0,40,60,80,80,80,50
180,0,40,60,90,110,110,80
100,0,2.309401e+01,60,40,50,50,40
140,0,2.309401e+01,60,90,80,60,50
180,0,2.309401e+01,60,100,100,100,60
100,0,40,120,40,80,40,50
140,0,40,120,100,100,70,70
180,0,40,120,150,120,110,100
100,0,2.309401e+01,120,80,80,70,70
140,0,2.309401e+01,120,100,90,80,80
180,0,2.309401e+01,120,100,120,110,90
100,0,40,150,80,70,70,50
140,0,40,150,100,120,100,100
180,0,40,150,130,140,120,110
100,0,2.309401e+01,150,70,80,80,50
140,0,2.309401e+01,150,100,100,100,80
180,0,2.309401e+01,150,125,130,120,100
