Coherence,Response 1,Response 2,Response 3,Response 4,Response 5,Response 6,Response 7,Response 8,Response 9,Response 10
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-0.75,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
-0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-0.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
0.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
,-1,-1,1,-1,1,-1,-1,-1,-1,-1
,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
,-1,1,-1,1,1,1,-1,1,1,-1
,1,1,-1,1,1,-1,-1,1,1,-1
,1,-1,-1,-1,1,1,-1,-1,-1,-1
,1,-1,1,1,-1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1
