Subject Block Trial Dot_Coherence Sound_Direction Response
04 07 25 -0.75 -1 -1
04 07 26 -0.50 +0 -1
04 07 27 +0.25 +0 +1
04 08 01 +1.00 -1 +1
04 08 02 -0.50 +0 -1
04 08 03 -0.25 -1 -1
04 08 04 -0.75 +1 -1
04 08 05 +0.00 +0 +1
04 08 06 +0.75 +0 +1
04 08 07 +0.25 +1 +1
04 08 08 -0.75 +0 -1
04 08 09 +0.50 +0 +1
04 08 10 -0.25 +0 -1
04 08 11 +0.50 +1 +1
04 08 12 -0.50 -1 -1
04 08 13 -0.75 -1 -1
04 08 14 +0.50 -1 +1
04 08 15 +0.75 -1 +1
04 08 16 +1.00 +1 +1
04 08 17 -1.00 +1 -1
04 08 18 -0.50 +1 -1
04 08 19 +0.00 -1 +1
04 08 20 +1.00 +0 +1
04 08 21 +0.75 +1 +1
04 08 22 +0.25 -1 +1
04 08 23 -0.25 +1 -1
04 08 24 +0.00 +1 -1
04 08 25 -1.00 -1 -1
04 08 26 -1.00 +0 -1
04 08 27 +0.25 +0 +1
04 09 01 +0.75 +0 +1
04 09 02 +0.00 +1 -1
04 09 03 +1.00 +0 +1
04 09 04 +0.50 +0 +1
04 09 05 -1.00 +1 -1
04 09 06 +0.50 -1 +1
04 09 07 +0.50 +1 +1
04 09 08 +0.00 -1 +1
04 09 09 -0.50 -1 +1
04 09 10 +0.75 -1 +1
04 09 11 -0.25 +1 -1
04 09 12 -1.00 +0 -1
04 09 13 +1.00 -1 +1
04 09 14 +0.25 -1 +1
04 09 15 +0.25 +1 +1
04 09 16 -0.75 -1 -1
04 09 17 +0.75 +1 +1
04 09 18 -0.25 -1 -1
04 09 19 -0.50 +1 -1
04 09 20 -0.50 +0 -1
04 09 21 -1.00 -1 -1
04 09 22 -0.75 +0 -1
04 09 23 +1.00 +1 +1
04 09 24 -0.75 +1 -1
04 09 25 +0.00 +0 +1
04 09 26 -0.25 +0 -1
04 09 27 +0.25 +0 +1
04 10 01 +0.75 +0 +1
04 10 02 -1.00 +1 -1
04 10 03 -0.75 -1 -1
04 10 04 +1.00 -1 +1
04 10 05 +0.25 -1 +1
04 10 06 -1.00 -1 -1
04 10 07 +0.75 +1 +1
04 10 08 +0.00 +1 -1
04 10 09 -0.50 -1 -1
04 10 10 +1.00 +1 +1
04 10 11 +0.50 +1 +1
04 10 12 -0.75 +1 -1
04 10 13 -0.25 -1 -1
04 10 14 +0.50 -1 +1
04 10 15 +0.00 -1 -1
04 10 16 +0.50 +0 +1
04 10 17 -0.75 +0 -1
04 10 18 +0.75 -1 +1
04 10 19 +1.00 +0 +1
04 10 20 +0.00 +0 -1
04 10 21 -0.50 +0 -1
04 10 22 -1.00 +0 -1
04 10 23 +0.25 +1 +1
04 10 24 +0.25 +0 +1
04 10 25 -0.50 +1 -1
04 10 26 -0.25 +0 -1
04 10 27 -0.25 +1 -1
