Line Length,Line Angle,Arrow Length,Arrow Angle,Estimate 1,Estimate 2,Estimate 3,Estimate 4
100,0,40,30,30,50,50,50
140,0,40,30,60,50,50,50
180,0,40,30,100,100,100,100
100,0,2.309401e+01,30,30,45,50,50
140,0,2.309401e+01,30,50,50,50,50
180,0,2.309401e+01,30,100,100,100,100
100,0,40,60,50,50,50,50
140,0,40,60,100,100,100,100
180,0,40,60,90,100,100,100
100,0,2.309401e+01,60,60,50,50,50
140,0,2.309401e+01,60,100,50,50,50
180,0,2.309401e+01,60,110,100,100,100
100,0,40,120,60,50,50,50
140,0,40,120,100,100,100,100
180,0,40,120,150,100,100,150
100,0,2.309401e+01,120,70,50,50,50
140,0,2.309401e+01,120,100,50,100,100
180,0,2.309401e+01,120,140,100,100,100
100,0,40,150,100,100,100,50
140,0,40,150,100,100,100,100
180,0,40,150,120,100,100,100
100,0,2.309401e+01,150,50,50,100,50
140,0,2.309401e+01,150,100,100,100,100
180,0,2.309401e+01,150,150,150,100,150
