Line Length,Line Angle,Arrow Length,Arrow Angle,Estimate 1,Estimate 2,Estimate 3,Estimate 4
100,0,40,30,45,30,35,35
140,0,40,30,88,60,69,50
180,0,40,30,90,95,79,95
100,0,2.309401e+01,30,20,30,35,35
140,0,2.309401e+01,30,88,70,45,50
180,0,2.309401e+01,30,107,80,70,80
100,0,40,60,30,40,35,50
140,0,40,60,78,95,69,70
180,0,40,60,102,88,70,100
100,0,2.309401e+01,60,30,69,35,30
140,0,2.309401e+01,60,80,85,45,55
180,0,2.309401e+01,60,99,95,100,100
100,0,40,120,79,45,45,50
140,0,40,120,104,80,90,100
180,0,40,120,110,110,120,110
100,0,2.309401e+01,120,40,45,35,40
140,0,2.309401e+01,120,100,95,85,70
180,0,2.309401e+01,120,103,105,120,105
100,0,40,150,79,75,70,35
140,0,40,150,98,85,80,100
180,0,40,150,120,105,110,110
100,0,2.309401e+01,150,89,75,50,70
140,0,2.309401e+01,150,90,88,100,80
180,0,2.309401e+01,150,120,110,105,105
