sub block trial obj foil exp maze DP turn attend pos resp1 resp2 resp3 RT1 RT2 RT3 correct1 correct2 correct3
Subject 09 -- attend vehicles
09 1 01 15 0 1 2 1 -1 0 -1 2 NaN NaN 01.4180 00.0000 00.0000 0 NaN NaN
09 1 02 38 0 1 2 3 -1 1 +1 1 1 2 01.3697 04.4799 01.6998 1 0 0
09 1 03 5 0 1 2 1 +1 0 -1 2 NaN NaN 01.2068 00.0000 00.0000 0 NaN NaN
09 1 04 24 0 1 2 3 +1 0 -1 1 2 2 00.9423 01.2859 01.9518 1 1 1
09 1 05 34 0 1 1 3 +1 0 +1 2 NaN NaN 00.9684 00.0000 00.0000 0 NaN NaN
09 1 06 35 0 1 1 3 -1 0 -1 1 1 1 01.0976 01.6748 01.6361 1 1 1
09 1 07 42 1 0 0 0 +0 0 +0 2 NaN NaN 00.6813 00.0000 00.0000 1 NaN NaN
09 1 08 7 1 0 0 0 +0 0 +0 1 1 2 00.8710 01.2181 01.0704 0 0 0
09 1 09 27 0 1 1 1 +1 1 +1 1 2 2 01.8038 00.8638 01.6908 1 0 1
09 1 10 1 1 0 0 0 +0 0 +0 1 1 1 00.8298 02.4422 00.9467 0 0 0
09 1 11 32 0 1 1 1 -1 0 -1 2 NaN NaN 00.7412 00.0000 00.0000 0 NaN NaN
09 1 12 25 0 1 1 3 +1 1 +1 2 NaN NaN 00.7033 00.0000 00.0000 0 NaN NaN
09 1 13 17 0 1 1 4 -1 1 -1 1 1 2 00.8917 01.7659 00.8593 1 1 0
09 1 14 39 0 1 1 1 +1 1 -1 2 NaN NaN 00.8173 00.0000 00.0000 0 NaN NaN
09 1 15 29 0 1 1 1 +1 0 -1 1 2 2 01.2406 00.7394 00.8844 1 0 1
09 1 16 41 0 1 2 1 +1 1 -1 2 NaN NaN 01.1454 00.0000 00.0000 0 NaN NaN
09 1 17 25 0 1 2 3 +1 0 +1 2 NaN NaN 00.9948 00.0000 00.0000 0 NaN NaN
09 1 18 26 0 1 1 3 -1 1 -1 2 NaN NaN 00.9466 00.0000 00.0000 0 NaN NaN
09 1 19 22 1 0 0 0 +0 0 +0 2 NaN NaN 00.9003 00.0000 00.0000 1 NaN NaN
09 1 20 28 1 0 0 0 +0 0 +0 1 2 2 00.7763 00.8388 01.3472 0 0 0
09 1 21 37 0 1 1 1 +1 0 +1 2 NaN NaN 00.7088 00.0000 00.0000 0 NaN NaN
09 1 22 37 0 1 2 1 -1 1 +1 1 1 1 00.8492 02.6528 01.6771 1 0 1
09 1 23 20 0 1 2 3 -1 0 -1 2 NaN NaN 00.6888 00.0000 00.0000 0 NaN NaN
09 1 24 43 0 1 1 3 -1 0 +1 2 NaN NaN 00.5898 00.0000 00.0000 0 NaN NaN
09 1 25 26 0 1 2 4 +1 0 -1 2 NaN NaN 00.5756 00.0000 00.0000 0 NaN NaN
09 1 26 36 0 1 2 4 +1 0 +1 1 2 2 00.7855 01.9359 00.9902 1 1 1
09 1 27 16 0 1 1 1 -1 1 +1 1 1 1 01.8712 01.2935 01.3344 1 1 1
09 1 28 23 0 1 2 1 -1 0 +1 2 NaN NaN 00.6322 00.0000 00.0000 0 NaN NaN
09 1 29 47 0 1 2 3 +1 1 -1 1 1 1 00.7752 00.7423 00.6301 1 0 0
09 1 30 34 0 1 2 1 -1 1 +1 1 2 1 01.7813 01.7218 01.9532 1 1 1
09 1 31 13 0 1 1 4 +1 0 +1 2 NaN NaN 01.4496 00.0000 00.0000 0 NaN NaN
09 1 32 3 0 1 1 1 +1 1 -1 1 1 2 01.4146 00.6504 01.7097 1 1 1
09 1 33 3 0 1 2 3 -1 0 +1 2 NaN NaN 00.7681 00.0000 00.0000 0 NaN NaN
09 1 34 4 0 1 2 4 -1 1 -1 2 NaN NaN 00.7137 00.0000 00.0000 0 NaN NaN
09 1 35 21 0 1 2 4 -1 0 +1 2 NaN NaN 00.6613 00.0000 00.0000 0 NaN NaN
09 1 36 18 0 1 1 1 -1 1 +1 1 1 2 00.8350 01.5353 00.7664 1 1 0
09 1 37 48 0 1 1 4 -1 0 -1 2 NaN NaN 00.8405 00.0000 00.0000 0 NaN NaN
09 1 38 39 0 1 1 1 +1 0 -1 1 1 2 00.7832 00.7658 00.8129 1 1 1
09 1 39 32 0 1 1 3 -1 1 +1 2 NaN NaN 00.6283 00.0000 00.0000 0 NaN NaN
09 1 40 46 0 1 1 1 -1 0 +1 2 NaN NaN 00.6273 00.0000 00.0000 0 NaN NaN
09 1 41 27 1 0 0 0 +0 0 +0 2 NaN NaN 00.6425 00.0000 00.0000 1 NaN NaN
09 1 42 35 1 0 0 0 +0 0 +0 2 NaN NaN 00.6894 00.0000 00.0000 1 NaN NaN
09 1 43 23 0 1 2 1 +1 1 -1 2 NaN NaN 01.5672 00.0000 00.0000 0 NaN NaN
09 1 44 14 0 1 2 4 +1 1 -1 2 NaN NaN 02.6792 00.0000 00.0000 0 NaN NaN
09 1 45 30 1 0 0 0 +0 0 +0 1 1 2 01.0403 02.2111 00.8068 0 0 0
09 1 46 41 0 1 1 1 -1 0 +1 2 NaN NaN 00.6393 00.0000 00.0000 0 NaN NaN
09 1 47 15 0 1 1 4 +1 1 +1 2 NaN NaN 00.8625 00.0000 00.0000 0 NaN NaN
09 1 48 10 0 1 1 3 +1 0 -1 2 NaN NaN 00.6758 00.0000 00.0000 0 NaN NaN
09 1 49 21 1 0 0 0 +0 0 +0 2 NaN NaN 01.5848 00.0000 00.0000 1 NaN NaN
09 1 50 40 0 1 2 1 +1 0 +1 2 NaN NaN 00.6801 00.0000 00.0000 0 NaN NaN
09 1 51 31 0 1 2 1 +1 1 +1 1 2 2 01.5570 00.8827 00.7498 1 1 1
09 1 52 7 1 0 0 0 +0 0 +0 2 NaN NaN 00.5684 00.0000 00.0000 1 NaN NaN
09 1 53 5 0 1 1 4 -1 1 +1 1 1 1 01.0024 00.8799 03.6900 1 1 1
09 1 54 22 1 0 0 0 +0 0 +0 2 NaN NaN 00.6173 00.0000 00.0000 1 NaN NaN
09 1 55 9 0 1 2 4 +1 1 +1 2 NaN NaN 00.5691 00.0000 00.0000 0 NaN NaN
09 1 56 38 1 0 0 0 +0 0 +0 2 NaN NaN 00.5230 00.0000 00.0000 1 NaN NaN
09 1 57 46 0 1 1 1 -1 1 -1 2 NaN NaN 00.5588 00.0000 00.0000 0 NaN NaN
09 1 58 8 0 1 1 3 +1 1 -1 1 1 2 01.0416 01.8295 00.6633 1 1 1
09 1 59 8 1 0 0 0 +0 0 +0 2 NaN NaN 00.6776 00.0000 00.0000 1 NaN NaN
09 1 60 12 0 1 1 1 -1 1 -1 2 NaN NaN 00.8352 00.0000 00.0000 0 NaN NaN
09 1 61 14 0 1 2 1 -1 0 -1 2 NaN NaN 00.6980 00.0000 00.0000 0 NaN NaN
09 1 62 16 0 1 1 1 -1 0 -1 2 NaN NaN 01.0304 00.0000 00.0000 0 NaN NaN
09 1 63 42 0 1 2 1 +1 1 +1 2 NaN NaN 00.8366 00.0000 00.0000 0 NaN NaN
09 1 64 2 0 1 2 1 -1 1 -1 2 NaN NaN 01.0360 00.0000 00.0000 0 NaN NaN
