Line Length,Line Angle,Arrow Length,Arrow Angle,Estimate 1,Estimate 2,Estimate 3,Estimate 4
100,0,40,30,60,70,60,60
140,0,40,30,75,90,70,70
180,0,40,30,120,100,100,90
100,0,2.309401e+01,30,80,80,60,60
140,0,2.309401e+01,30,75,70,70,110
180,0,2.309401e+01,30,120,110,105,110
100,0,40,60,80,60,70,60
140,0,40,60,75,70,65,90
180,0,40,60,120,100,100,100
100,0,2.309401e+01,60,75,50,60,60
140,0,2.309401e+01,60,75,95,70,100
180,0,2.309401e+01,60,110,100,100,110
100,0,40,120,95,65,70,70
140,0,40,120,100,80,70,100
180,0,40,120,120,120,110,120
100,0,2.309401e+01,120,70,60,60,60
140,0,2.309401e+01,120,90,110,70,80
180,0,2.309401e+01,120,120,120,110,100
100,0,40,150,80,80,70,70
140,0,40,150,120,100,70,100
180,0,40,150,120,130,120,130
100,0,2.309401e+01,150,80,70,90,80
140,0,2.309401e+01,150,110,100,110,80
180,0,2.309401e+01,150,120,130,130,120
