sub block trial obj foil exp maze DP turn attend pos resp1 resp2 resp3 RT1 RT2 RT3 correct1 correct2 correct3
Subject 10 -- attend furniture
10 1 01 33 1 0 0 0 +0 0 +0 2 NaN NaN 02.7180 00.0000 00.0000 1 NaN NaN
10 1 02 11 0 1 1 1 -1 1 +1 1 1 2 05.0624 05.3941 04.8158 1 1 0
10 1 03 3 0 1 1 1 +1 0 -1 1 2 2 01.1999 01.6288 01.5118 1 0 1
10 1 04 21 0 1 1 1 -1 0 +1 1 1 2 01.2179 03.1822 02.9202 1 1 0
10 1 05 32 1 0 0 0 +0 0 +0 2 NaN NaN 01.4632 00.0000 00.0000 1 NaN NaN
10 1 06 31 0 1 1 4 -1 0 -1 2 NaN NaN 02.6275 00.0000 00.0000 0 NaN NaN
10 1 07 2 0 1 2 1 +1 0 -1 1 2 1 01.4234 02.3871 01.3748 1 1 0
10 1 08 1 0 1 2 4 +1 1 -1 1 2 2 01.3751 02.3878 00.9765 1 1 1
10 1 09 21 0 1 1 1 -1 1 -1 1 1 2 02.6568 00.9291 00.8892 1 1 0
10 1 10 33 0 1 2 1 -1 1 +1 1 2 1 01.1178 02.2064 01.5695 1 1 1
10 1 11 29 0 1 1 3 +1 1 -1 2 NaN NaN 02.0579 00.0000 00.0000 0 NaN NaN
10 1 12 35 1 0 0 0 +0 0 +0 2 NaN NaN 03.0858 00.0000 00.0000 1 NaN NaN
10 1 13 45 0 1 2 1 -1 0 -1 2 NaN NaN 03.7668 00.0000 00.0000 0 NaN NaN
10 1 14 34 0 1 1 3 +1 0 +1 1 1 1 01.5065 01.6989 01.1790 1 1 0
10 1 15 4 0 1 1 4 +1 0 -1 1 2 1 00.9950 05.3364 02.4081 1 0 0
10 1 16 34 1 0 0 0 +0 0 +0 2 NaN NaN 01.8371 00.0000 00.0000 1 NaN NaN
10 1 17 27 0 1 1 4 -1 1 +1 2 NaN NaN 03.5939 00.0000 00.0000 0 NaN NaN
10 1 18 5 0 1 2 3 -1 0 +1 2 NaN NaN 02.4612 00.0000 00.0000 0 NaN NaN
10 1 19 19 0 1 1 3 -1 0 +1 2 NaN NaN 02.0474 00.0000 00.0000 0 NaN NaN
10 1 20 47 0 1 1 1 +1 0 -1 2 NaN NaN 02.5152 00.0000 00.0000 0 NaN NaN
10 1 21 47 0 1 1 1 +1 1 +1 1 2 1 00.6914 01.1419 00.5657 1 0 0
10 1 22 7 0 1 1 1 -1 1 +1 1 1 2 00.7596 04.0707 00.8595 1 1 0
10 1 23 2 1 0 0 0 +0 0 +0 1 1 1 05.2496 01.7813 00.6821 0 0 0
10 1 24 44 0 1 2 4 +1 0 +1 1 1 2 01.9910 01.1550 00.8341 1 0 1
10 1 25 44 0 1 2 1 -1 1 -1 2 NaN NaN 02.2014 00.0000 00.0000 0 NaN NaN
10 1 26 12 0 1 2 4 -1 1 -1 2 NaN NaN 01.4477 00.0000 00.0000 0 NaN NaN
10 1 27 42 0 1 1 4 +1 1 +1 2 NaN NaN 03.6206 00.0000 00.0000 0 NaN NaN
10 1 28 46 1 0 0 0 +0 0 +0 2 NaN NaN 02.0392 00.0000 00.0000 1 NaN NaN
10 1 29 25 0 1 2 3 -1 0 -1 1 2 1 00.8603 00.9673 02.4302 1 1 1
10 1 30 16 0 1 1 4 -1 1 -1 2 NaN NaN 01.0423 00.0000 00.0000 0 NaN NaN
10 1 31 37 0 1 2 4 +1 0 -1 1 2 2 00.9927 00.9181 01.5029 1 1 1
10 1 32 10 0 1 1 1 -1 0 -1 1 1 2 01.2577 01.9565 00.7543 1 1 0
10 1 33 25 0 1 2 1 +1 1 +1 2 NaN NaN 01.7564 00.0000 00.0000 0 NaN NaN
10 1 34 8 0 1 2 1 +1 0 +1 2 NaN NaN 02.7966 00.0000 00.0000 0 NaN NaN
10 1 35 4 0 1 1 4 +1 1 -1 2 NaN NaN 01.4729 00.0000 00.0000 0 NaN NaN
10 1 36 24 0 1 2 3 +1 1 -1 1 1 1 02.2369 01.3107 00.3268 1 0 0
10 1 37 31 0 1 1 3 +1 1 +1 2 NaN NaN 00.6584 00.0000 00.0000 0 NaN NaN
10 1 38 30 0 1 2 1 +1 1 -1 2 NaN NaN 00.7689 00.0000 00.0000 0 NaN NaN
10 1 39 48 0 1 1 1 +1 1 -1 1 1 1 01.6743 00.8677 00.9587 1 1 0
