sub block trial obj foil exp maze DP turn attend pos resp1 resp2 resp3 RT1 RT2 RT3 correct1 correct2 correct3
Subject 02 -- attend furniture
02 1 01 5 0 1 1 1 +1 1 -1 1 1 2 06.7641 05.4228 03.3550 1 1 1
02 1 02 15 0 1 2 1 +1 0 -1 2 NaN NaN 03.9558 00.0000 00.0000 0 NaN NaN
02 1 03 4 0 1 2 1 -1 0 -1 1 2 1 02.1520 01.1010 00.9585 1 1 1
02 1 04 38 0 1 2 1 +1 0 -1 1 2 1 01.6648 01.4343 01.0854 1 1 0
02 1 05 26 0 1 2 3 +1 1 +1 1 1 2 04.7296 00.8511 01.0870 1 0 1
02 1 06 37 0 1 1 1 -1 1 -1 1 2 1 01.8197 00.7989 01.4527 1 0 1
02 1 07 4 0 1 1 1 +1 1 -1 1 1 2 01.4342 00.6535 01.1695 1 1 1
02 1 08 28 0 1 2 1 -1 1 +1 1 2 1 01.3863 00.6876 00.9303 1 1 1
02 1 09 35 0 1 2 1 +1 0 +1 1 2 1 01.1733 00.9623 02.8906 1 1 0
02 1 10 27 1 0 0 0 +0 0 +0 1 2 1 01.5160 02.6677 00.9231 0 0 0
02 1 11 6 0 1 1 1 -1 1 +1 1 1 2 01.8705 00.3035 00.7863 1 1 0
02 1 12 19 1 0 0 0 +0 0 +0 2 NaN NaN 01.4356 00.0000 00.0000 1 NaN NaN
02 1 13 25 1 0 0 0 +0 0 +0 2 NaN NaN 01.3853 00.0000 00.0000 1 NaN NaN
02 1 14 20 1 0 0 0 +0 0 +0 2 NaN NaN 01.1295 00.0000 00.0000 1 NaN NaN
02 1 15 45 0 1 1 4 +1 0 -1 1 1 2 01.2357 01.2153 01.8515 1 1 1
02 1 16 14 1 0 0 0 +0 0 +0 2 NaN NaN 02.6002 00.0000 00.0000 1 NaN NaN
02 1 17 13 0 1 1 1 +1 0 -1 2 NaN NaN 01.1090 00.0000 00.0000 0 NaN NaN
02 1 18 20 0 1 2 3 -1 0 +1 2 NaN NaN 02.4325 00.0000 00.0000 0 NaN NaN
02 1 19 29 1 0 0 0 +0 0 +0 2 NaN NaN 01.1081 00.0000 00.0000 1 NaN NaN
02 1 20 46 0 1 1 1 -1 0 +1 1 1 2 01.1837 00.6374 00.7541 1 1 0
02 1 21 44 1 0 0 0 +0 0 +0 2 NaN NaN 02.2850 00.0000 00.0000 1 NaN NaN
02 1 22 35 0 1 1 4 -1 1 -1 1 1 1 01.0636 00.4582 00.6785 1 1 1
02 1 23 10 0 1 2 1 -1 1 -1 2 NaN NaN 01.6676 00.0000 00.0000 0 NaN NaN
02 1 24 29 1 0 0 0 +0 0 +0 2 NaN NaN 04.4880 00.0000 00.0000 1 NaN NaN
02 1 25 22 0 1 2 4 +1 0 +1 2 NaN NaN 02.3258 00.0000 00.0000 0 NaN NaN
02 1 26 41 0 1 1 1 -1 1 +1 2 NaN NaN 01.1503 00.0000 00.0000 0 NaN NaN
02 1 27 18 0 1 1 1 +1 0 -1 2 NaN NaN 02.7117 00.0000 00.0000 0 NaN NaN
02 1 28 36 1 0 0 0 +0 0 +0 2 NaN NaN 00.9442 00.0000 00.0000 1 NaN NaN
02 1 29 31 0 1 1 3 +1 0 +1 2 NaN NaN 01.6186 00.0000 00.0000 0 NaN NaN
02 1 30 47 0 1 2 3 -1 1 +1 1 2 1 01.2411 01.8442 00.9665 1 1 1
02 1 31 30 0 1 2 1 +1 1 +1 2 NaN NaN 02.7443 00.0000 00.0000 0 NaN NaN
02 1 32 32 0 1 2 4 -1 1 +1 2 NaN NaN 01.7113 00.0000 00.0000 0 NaN NaN
02 1 33 42 0 1 2 1 -1 0 +1 2 NaN NaN 03.8577 00.0000 00.0000 0 NaN NaN
02 1 34 2 1 0 0 0 +0 0 +0 1 2 1 02.4265 01.3005 00.9096 0 0 0
02 1 35 2 1 0 0 0 +0 0 +0 2 NaN NaN 00.9927 00.0000 00.0000 1 NaN NaN
02 1 36 48 0 1 1 3 -1 0 -1 1 1 1 02.0812 00.8410 02.0694 1 1 1
02 1 37 10 0 1 1 1 +1 0 +1 1 1 2 01.2723 00.4028 00.8332 1 1 1
02 1 38 33 0 1 1 4 -1 1 +1 1 2 1 02.8085 00.8826 00.9088 1 0 1
02 1 39 40 0 1 1 4 +1 1 +1 2 NaN NaN 02.0967 00.0000 00.0000 0 NaN NaN
02 1 40 25 0 1 1 3 +1 1 -1 2 NaN NaN 01.6342 00.0000 00.0000 0 NaN NaN
02 1 41 15 1 0 0 0 +0 0 +0 2 NaN NaN 01.6873 00.0000 00.0000 1 NaN NaN
02 1 42 19 0 1 2 4 +1 0 -1 1 2 1 00.9864 01.8885 00.9449 1 1 0
02 1 43 41 0 1 1 4 +1 0 +1 1 2 2 01.4267 00.5820 01.3088 1 0 1
02 1 44 11 0 1 2 4 -1 0 -1 1 1 1 02.7200 00.3653 01.2613 1 0 1
02 1 45 47 0 1 2 3 +1 0 -1 2 NaN NaN 02.0025 00.0000 00.0000 0 NaN NaN
02 1 46 48 0 1 1 3 -1 1 -1 1 1 1 01.2089 00.3877 01.3158 1 1 1
02 1 47 5 0 1 2 3 -1 0 -1 1 2 1 02.1823 01.8339 02.2844 1 1 1
02 1 48 1 0 1 2 1 +1 1 -1 2 NaN NaN 01.8149 00.0000 00.0000 0 NaN NaN
02 1 49 28 0 1 1 1 -1 0 +1 2 NaN NaN 01.6045 00.0000 00.0000 0 NaN NaN
02 1 50 8 0 1 1 4 -1 0 +1 2 NaN NaN 02.9716 00.0000 00.0000 0 NaN NaN
02 1 51 17 0 1 2 1 -1 0 -1 1 2 1 02.5051 01.1676 00.7019 1 1 1
02 1 52 34 0 1 1 1 +1 1 +1 1 1 1 03.8507 02.3768 00.8193 1 1 0
02 1 53 45 0 1 1 3 +1 1 +1 1 1 2 01.0369 00.4969 00.6512 1 1 1
02 1 54 18 1 0 0 0 +0 0 +0 2 NaN NaN 01.6902 00.0000 00.0000 1 NaN NaN
02 1 55 24 0 1 1 4 +1 1 -1 1 1 1 03.3899 04.2236 01.2781 1 1 0
02 1 56 16 0 1 2 1 +1 1 +1 2 NaN NaN 02.8664 00.0000 00.0000 0 NaN NaN
