sub block trial obj foil exp maze DP turn attend pos resp1 resp2 resp3 RT1 RT2 RT3 correct1 correct2 correct3
Subject 06 -- attend furniture
06 1 01 32 0 1 1 1 +1 0 -1 2 NaN NaN 01.2086 00.0000 00.0000 0 NaN NaN
06 1 02 47 0 1 2 1 -1 1 +1 2 NaN NaN 01.0087 00.0000 00.0000 0 NaN NaN
06 1 03 3 0 1 2 1 -1 0 +1 1 1 2 00.7202 01.5531 01.3920 1 0 0
06 1 04 34 0 1 2 1 -1 0 -1 1 1 1 01.0395 02.4034 01.8542 1 0 1
06 1 05 12 1 0 0 0 +0 0 +0 2 NaN NaN 01.0988 00.0000 00.0000 1 NaN NaN
06 1 06 26 0 1 1 1 +1 1 -1 1 1 1 00.9984 00.8919 03.1094 1 1 0
06 1 07 17 0 1 2 1 +1 0 +1 1 2 2 01.4370 00.5763 01.2711 1 1 1
06 1 08 42 0 1 2 4 -1 1 -1 1 2 2 01.5636 03.0653 00.3921 1 1 0
06 1 09 24 0 1 1 4 -1 1 +1 1 1 1 01.2168 02.8293 01.6063 1 1 1
06 1 10 17 0 1 1 1 +1 1 +1 1 2 2 01.3729 01.0910 00.4201 1 0 1
06 1 11 8 0 1 2 1 -1 0 +1 1 1 2 01.2290 03.0966 00.4706 1 0 0
06 1 12 7 0 1 1 1 -1 1 -1 1 2 2 05.3733 01.5316 00.9066 1 0 0
06 1 13 46 1 0 0 0 +0 0 +0 2 NaN NaN 01.1193 00.0000 00.0000 1 NaN NaN
06 1 14 25 0 1 2 3 +1 1 +1 2 NaN NaN 01.1627 00.0000 00.0000 0 NaN NaN
06 1 15 10 0 1 2 1 +1 1 +1 2 NaN NaN 00.8676 00.0000 00.0000 0 NaN NaN
06 1 16 13 0 1 1 1 +1 0 +1 2 NaN NaN 01.8815 00.0000 00.0000 0 NaN NaN
06 1 17 37 1 0 0 0 +0 0 +0 2 NaN NaN 01.2522 00.0000 00.0000 1 NaN NaN
06 1 18 48 0 1 2 1 +1 0 -1 1 2 1 01.0815 00.9393 00.5471 1 1 0
06 1 19 19 1 0 0 0 +0 0 +0 2 NaN NaN 01.0301 00.0000 00.0000 1 NaN NaN
06 1 20 42 0 1 2 4 -1 0 +1 1 1 2 00.7404 01.0122 00.2337 1 0 0
06 1 21 39 0 1 1 3 +1 1 +1 2 NaN NaN 03.0981 00.0000 00.0000 0 NaN NaN
06 1 22 13 0 1 2 1 -1 1 +1 1 2 2 00.9946 03.9920 01.4224 1 1 0
06 1 23 21 0 1 1 1 -1 0 -1 2 NaN NaN 01.2299 00.0000 00.0000 0 NaN NaN
