sub block trial obj foil exp maze DP turn attend pos resp1 resp2 resp3 RT1 RT2 RT3 correct1 correct2 correct3
Subject 08 -- attend furniture
08 1 01 26 0 1 1 1 +1 0 -1 2 NaN NaN 05.9071 00.0000 00.0000 0 NaN NaN
08 1 02 23 0 1 2 1 -1 0 +1 2 NaN NaN 03.3656 00.0000 00.0000 0 NaN NaN
08 1 03 32 0 1 2 4 -1 1 -1 1 1 1 01.5381 01.8891 00.6733 1 0 1
08 1 04 18 1 0 0 0 +0 0 +0 2 NaN NaN 04.8950 00.0000 00.0000 1 NaN NaN
08 1 05 46 0 1 1 1 -1 1 +1 1 1 2 01.2441 03.8789 01.3797 1 1 0
08 1 06 20 0 1 2 1 +1 0 -1 1 1 2 01.1878 01.6335 00.8762 1 0 1
08 1 07 44 0 1 1 1 -1 1 +1 2 NaN NaN 04.7054 00.0000 00.0000 0 NaN NaN
08 1 08 23 0 1 1 4 +1 1 +1 2 NaN NaN 01.0942 00.0000 00.0000 0 NaN NaN
08 1 09 42 0 1 1 4 -1 1 -1 2 NaN NaN 00.8823 00.0000 00.0000 0 NaN NaN
08 1 10 24 0 1 2 1 -1 1 -1 1 2 1 00.9676 00.5265 00.4554 1 1 1
08 1 11 27 0 1 2 1 +1 0 +1 2 NaN NaN 00.7028 00.0000 00.0000 0 NaN NaN
08 1 12 41 0 1 1 1 -1 0 -1 2 NaN NaN 00.7637 00.0000 00.0000 0 NaN NaN
08 1 13 3 1 0 0 0 +0 0 +0 2 NaN NaN 01.1254 00.0000 00.0000 1 NaN NaN
08 1 14 36 0 1 2 3 -1 1 +1 2 NaN NaN 00.7682 00.0000 00.0000 0 NaN NaN
08 1 15 27 1 0 0 0 +0 0 +0 1 2 2 01.2097 00.2940 00.4407 0 0 0
08 1 16 28 0 1 1 4 +1 1 -1 2 NaN NaN 01.4721 00.0000 00.0000 0 NaN NaN
08 1 17 30 0 1 2 1 -1 1 +1 1 2 1 00.6523 00.7844 00.5267 1 1 1
08 1 18 32 0 1 1 1 +1 0 +1 2 NaN NaN 00.9787 00.0000 00.0000 0 NaN NaN
08 1 19 13 0 1 1 3 -1 0 +1 1 2 2 00.6592 00.3427 00.3751 1 0 0
08 1 20 37 0 1 2 1 -1 1 -1 1 1 1 00.6574 01.6534 00.5117 1 0 1
08 1 21 45 0 1 2 1 +1 1 -1 1 2 2 00.7556 00.2104 00.2017 1 1 1
08 1 22 6 1 0 0 0 +0 0 +0 1 2 1 00.6029 00.1290 00.0908 0 0 0
08 1 23 41 0 1 1 3 +1 1 +1 1 2 1 00.3522 00.3208 00.2427 1 0 0
08 1 24 15 0 1 1 1 +1 0 -1 1 2 1 00.0341 00.2878 00.2273 1 0 0
08 1 25 22 0 1 2 4 -1 0 -1 1 2 2 00.0511 00.2244 00.2625 1 1 0
08 1 26 1 0 1 1 1 -1 0 -1 2 NaN NaN 00.4690 00.0000 00.0000 0 NaN NaN
08 1 27 35 0 1 1 1 -1 1 -1 2 NaN NaN 00.6839 00.0000 00.0000 0 NaN NaN
08 1 28 25 0 1 2 4 -1 0 +1 1 1 2 04.4888 04.1882 01.1480 1 0 0
08 1 29 34 0 1 1 4 -1 1 +1 2 NaN NaN 00.8535 00.0000 00.0000 0 NaN NaN
08 1 30 39 0 1 1 3 +1 0 +1 1 2 2 00.7802 00.5547 00.4026 1 0 1
08 1 31 11 1 0 0 0 +0 0 +0 2 NaN NaN 00.7324 00.0000 00.0000 1 NaN NaN
08 1 32 8 0 1 2 4 -1 1 +1 2 NaN NaN 00.7280 00.0000 00.0000 0 NaN NaN
08 1 33 12 0 1 2 3 -1 0 -1 1 1 1 00.6429 00.4070 00.2295 1 0 1
08 1 34 4 0 1 2 4 +1 0 -1 2 NaN NaN 00.5821 00.0000 00.0000 0 NaN NaN
08 1 35 31 1 0 0 0 +0 0 +0 1 2 2 00.5033 00.4657 00.3334 0 0 0
08 1 36 26 0 1 2 4 +1 1 +1 1 2 2 03.0496 01.0172 01.0859 1 1 1
08 1 37 34 1 0 0 0 +0 0 +0 2 NaN NaN 00.7140 00.0000 00.0000 1 NaN NaN
08 1 38 21 0 1 1 3 -1 1 -1 2 NaN NaN 00.5017 00.0000 00.0000 0 NaN NaN
08 1 39 18 0 1 1 1 +1 0 +1 1 1 1 00.5063 00.3886 00.3071 1 1 0
08 1 40 30 1 0 0 0 +0 0 +0 2 NaN NaN 00.4490 00.0000 00.0000 1 NaN NaN
08 1 41 39 0 1 2 1 +1 1 +1 1 2 2 00.4563 00.4528 00.6573 1 1 1
08 1 42 2 0 1 2 1 -1 0 +1 1 2 1 00.5437 00.3280 00.2173 1 1 1
08 1 43 38 1 0 0 0 +0 0 +0 2 NaN NaN 00.5224 00.0000 00.0000 1 NaN NaN
08 1 44 43 0 1 1 1 +1 1 -1 2 NaN NaN 00.5425 00.0000 00.0000 0 NaN NaN
08 1 45 42 0 1 2 1 -1 0 -1 2 NaN NaN 01.3451 00.0000 00.0000 0 NaN NaN
08 1 46 33 0 1 1 1 -1 0 +1 1 2 2 00.6268 01.7997 00.4274 1 0 0
08 1 47 46 0 1 2 3 +1 0 +1 2 NaN NaN 00.4989 00.0000 00.0000 0 NaN NaN
08 1 48 48 0 1 1 3 +1 0 -1 2 NaN NaN 00.5995 00.0000 00.0000 0 NaN NaN
08 1 49 48 0 1 2 1 +1 1 +1 2 NaN NaN 01.8006 00.0000 00.0000 0 NaN NaN
08 1 50 22 0 1 1 3 -1 1 +1 2 NaN NaN 00.7435 00.0000 00.0000 0 NaN NaN
08 1 51 16 0 1 1 1 -1 1 -1 2 NaN NaN 00.7858 00.0000 00.0000 0 NaN NaN
08 1 52 13 1 0 0 0 +0 0 +0 2 NaN NaN 00.6985 00.0000 00.0000 1 NaN NaN
08 1 53 15 0 1 2 3 +1 1 -1 2 NaN NaN 00.6956 00.0000 00.0000 0 NaN NaN
08 1 54 40 0 1 1 3 +1 1 -1 1 1 1 00.8519 00.4316 00.2047 1 1 0
08 1 55 29 0 1 2 1 +1 0 -1 1 1 1 00.5420 00.1823 00.1578 1 0 0
08 1 56 20 1 0 0 0 +0 0 +0 1 2 2 00.5925 00.1667 00.2389 0 0 0
08 1 57 11 0 1 1 1 +1 1 +1 1 2 1 00.5274 00.2483 00.1733 1 0 0
08 1 58 17 0 1 2 1 -1 0 -1 2 NaN NaN 00.2398 00.0000 00.0000 0 NaN NaN
08 1 59 29 0 1 1 1 +1 1 +1 2 NaN NaN 00.5278 00.0000 00.0000 0 NaN NaN
08 1 60 10 1 0 0 0 +0 0 +0 2 NaN NaN 00.7390 00.0000 00.0000 1 NaN NaN
08 1 61 19 0 1 1 4 +1 0 -1 2 NaN NaN 00.5901 00.0000 00.0000 0 NaN NaN
08 1 62 35 0 1 1 4 -1 0 +1 1 2 1 01.2791 00.9686 02.8154 1 0 1
08 1 63 24 0 1 2 1 +1 0 +1 2 NaN NaN 00.5155 00.0000 00.0000 0 NaN NaN
