Line Length,Line Angle,Arrow Length,Arrow Angle,Estimate 1,Estimate 2,Estimate 3,Estimate 4
100,0,40,30,60,40,30,40
140,0,40,30,90,60,100,50
180,0,40,30,100,110,100,120
100,0,2.309401e+01,30,50,60,30,50
140,0,2.309401e+01,30,100,90,100,60
180,0,2.309401e+01,30,120,130,60,100
100,0,40,60,70,90,50,60
140,0,40,60,100,70,100,100
180,0,40,60,90,140,130,110
100,0,2.309401e+01,60,80,60,40,100
140,0,2.309401e+01,60,70,90,90,100
180,0,2.309401e+01,60,100,130,100,110
100,0,40,120,70,90,50,40
140,0,40,120,130,100,100,120
180,0,40,120,130,150,130,100
100,0,2.309401e+01,120,120,70,80,50
140,0,2.309401e+01,120,90,100,100,100
180,0,2.309401e+01,120,110,110,130,120
100,0,40,150,100,100,80,70
140,0,40,150,100,100,110,100
180,0,40,150,100,150,100,130
100,0,2.309401e+01,150,80,90,50,60
140,0,2.309401e+01,150,120,130,100,110
180,0,2.309401e+01,150,130,150,140,130
