Line Length,Line Angle,Arrow Length,Arrow Angle,Estimate 1,Estimate 2,Estimate 3,Estimate 4
100,0,40,30,50,40,50,40
140,0,40,30,80,80,90,70
180,0,40,30,110,110,100,110
100,0,2.309401e+01,30,60,70,60,60
140,0,2.309401e+01,30,80,100,90,100
180,0,2.309401e+01,30,120,0,110,110
100,0,40,60,80,60,60,70
140,0,40,60,95,90,95,100
180,0,40,60,120,110,120,120
100,0,2.309401e+01,60,60,60,60,60
140,0,2.309401e+01,60,80,100,90,100
180,0,2.309401e+01,60,120,120,120,110
100,0,40,120,70,60,80,80
140,0,40,120,105,111,110,110
180,0,40,120,40,130,140,120
100,0,2.309401e+01,120,80,60,70,80
140,0,2.309401e+01,120,110,70,110,110
180,0,2.309401e+01,120,20,140,130,130
100,0,40,150,90,90,80,60
140,0,40,150,20,120,110,120
180,0,40,150,140,170,130,160
100,0,2.309401e+01,150,80,70,70,90
140,0,2.309401e+01,150,110,110,110,1201
180,0,2.309401e+01,150,130,30,120,130
