sub block trial obj foil exp maze DP turn attend pos resp1 resp2 resp3 RT1 RT2 RT3 correct1 correct2 correct3
Subject 07 -- attend vehicles
07 1 01 23 0 1 2 1 +1 1 -1 2 NaN NaN 02.1381 00.0000 00.0000 0 NaN NaN
07 1 02 36 0 1 2 1 -1 0 +1 1 1 1 02.4750 02.4026 01.6135 1 0 1
07 1 03 40 1 0 0 0 +0 0 +0 2 NaN NaN 01.0921 00.0000 00.0000 1 NaN NaN
07 1 04 10 1 0 0 0 +0 0 +0 2 NaN NaN 00.9444 00.0000 00.0000 1 NaN NaN
07 1 05 43 0 1 1 4 -1 0 +1 2 NaN NaN 00.9627 00.0000 00.0000 0 NaN NaN
07 1 06 5 0 1 2 1 +1 1 -1 1 1 2 01.4925 01.1735 03.1235 1 0 1
07 1 07 6 0 1 1 1 -1 1 -1 2 NaN NaN 01.7077 00.0000 00.0000 0 NaN NaN
07 1 08 15 0 1 2 3 -1 0 +1 2 NaN NaN 00.8309 00.0000 00.0000 0 NaN NaN
07 1 09 16 0 1 1 3 -1 0 -1 2 NaN NaN 01.6543 00.0000 00.0000 0 NaN NaN
07 1 10 12 1 0 0 0 +0 0 +0 2 NaN NaN 01.3068 00.0000 00.0000 1 NaN NaN
07 1 11 3 0 1 2 4 -1 1 -1 1 1 2 01.1979 01.1950 00.8560 1 0 0
07 1 12 19 0 1 1 4 +1 1 +1 2 NaN NaN 01.2139 00.0000 00.0000 0 NaN NaN
07 1 13 33 0 1 2 4 +1 1 -1 2 NaN NaN 01.3811 00.0000 00.0000 0 NaN NaN
07 1 14 19 0 1 1 1 -1 0 -1 2 NaN NaN 00.6288 00.0000 00.0000 0 NaN NaN
07 1 15 46 0 1 1 4 -1 1 -1 2 NaN NaN 00.5320 00.0000 00.0000 0 NaN NaN
07 1 16 23 0 1 1 1 +1 0 +1 1 2 2 01.3992 01.2757 00.9819 1 0 1
07 1 17 20 0 1 2 3 +1 0 -1 2 NaN NaN 01.1425 00.0000 00.0000 0 NaN NaN
07 1 18 9 0 1 1 1 -1 1 +1 2 NaN NaN 00.9766 00.0000 00.0000 0 NaN NaN
07 1 19 39 0 1 2 4 -1 0 +1 2 NaN NaN 00.5616 00.0000 00.0000 0 NaN NaN
07 1 20 35 1 0 0 0 +0 0 +0 2 NaN NaN 00.6122 00.0000 00.0000 1 NaN NaN
07 1 21 38 0 1 2 3 -1 1 -1 1 1 1 01.4280 00.6633 00.5867 1 0 1
07 1 22 12 0 1 2 1 -1 0 -1 2 NaN NaN 00.5718 00.0000 00.0000 0 NaN NaN
07 1 23 30 0 1 1 1 +1 0 -1 2 NaN NaN 00.5097 00.0000 00.0000 0 NaN NaN
07 1 24 8 0 1 2 1 +1 1 +1 2 NaN NaN 02.4983 00.0000 00.0000 0 NaN NaN
07 1 25 26 0 1 1 3 -1 1 -1 2 NaN NaN 00.7711 00.0000 00.0000 0 NaN NaN
07 1 26 33 0 1 1 1 -1 0 +1 2 NaN NaN 00.5407 00.0000 00.0000 0 NaN NaN
07 1 27 4 0 1 1 3 -1 1 +1 2 NaN NaN 00.7679 00.0000 00.0000 0 NaN NaN
07 1 28 20 0 1 1 1 +1 1 -1 2 NaN NaN 00.6494 00.0000 00.0000 0 NaN NaN
07 1 29 32 0 1 1 1 +1 1 -1 2 NaN NaN 01.2724 00.0000 00.0000 0 NaN NaN
07 1 30 15 1 0 0 0 +0 0 +0 2 NaN NaN 01.2930 00.0000 00.0000 1 NaN NaN
07 1 31 29 0 1 1 3 +1 1 +1 2 NaN NaN 00.7529 00.0000 00.0000 0 NaN NaN
07 1 32 27 0 1 1 1 +1 1 +1 1 1 2 01.2591 03.5579 02.2725 1 1 1
07 1 33 34 1 0 0 0 +0 0 +0 2 NaN NaN 00.8437 00.0000 00.0000 1 NaN NaN
07 1 34 7 1 0 0 0 +0 0 +0 2 NaN NaN 01.2664 00.0000 00.0000 1 NaN NaN
07 1 35 16 0 1 1 3 +1 1 -1 2 NaN NaN 00.7109 00.0000 00.0000 0 NaN NaN
07 1 36 26 0 1 2 1 +1 0 -1 1 2 1 01.1552 00.5944 00.3444 1 1 0
07 1 37 10 1 0 0 0 +0 0 +0 2 NaN NaN 00.5001 00.0000 00.0000 1 NaN NaN
07 1 38 35 0 1 2 1 -1 1 -1 2 NaN NaN 00.7929 00.0000 00.0000 0 NaN NaN
07 1 39 34 0 1 2 1 -1 0 -1 2 NaN NaN 00.5616 00.0000 00.0000 0 NaN NaN
07 1 40 42 0 1 2 4 -1 0 -1 2 NaN NaN 00.8683 00.0000 00.0000 0 NaN NaN
07 1 41 45 0 1 2 1 -1 1 +1 2 NaN NaN 00.7455 00.0000 00.0000 0 NaN NaN
07 1 42 45 0 1 2 3 -1 0 -1 2 NaN NaN 00.9798 00.0000 00.0000 0 NaN NaN
07 1 43 31 0 1 2 4 +1 0 -1 2 NaN NaN 01.4449 00.0000 00.0000 0 NaN NaN
07 1 44 43 1 0 0 0 +0 0 +0 2 NaN NaN 01.2977 00.0000 00.0000 1 NaN NaN
07 1 45 21 0 1 1 4 -1 1 +1 2 NaN NaN 00.8849 00.0000 00.0000 0 NaN NaN
07 1 46 31 0 1 2 3 +1 1 -1 2 NaN NaN 00.9054 00.0000 00.0000 0 NaN NaN
07 1 47 25 0 1 1 1 -1 0 +1 1 1 2 01.5339 00.7330 01.0216 1 1 0
07 1 48 28 0 1 1 1 +1 1 +1 2 NaN NaN 02.0287 00.0000 00.0000 0 NaN NaN
07 1 49 24 0 1 1 4 -1 0 -1 2 NaN NaN 00.5770 00.0000 00.0000 0 NaN NaN
07 1 50 14 0 1 2 4 +1 0 +1 2 NaN NaN 00.5788 00.0000 00.0000 0 NaN NaN
07 1 51 6 0 1 1 3 +1 0 -1 2 NaN NaN 00.4846 00.0000 00.0000 0 NaN NaN
07 1 52 39 1 0 0 0 +0 0 +0 2 NaN NaN 00.3947 00.0000 00.0000 1 NaN NaN
07 1 53 13 0 1 2 1 +1 1 +1 2 NaN NaN 00.5637 00.0000 00.0000 0 NaN NaN
07 1 54 1 0 1 2 3 +1 0 +1 2 NaN NaN 00.6781 00.0000 00.0000 0 NaN NaN
07 1 55 48 0 1 1 1 -1 1 -1 2 NaN NaN 00.8198 00.0000 00.0000 0 NaN NaN
07 1 56 14 0 1 2 3 -1 1 +1 2 NaN NaN 00.4761 00.0000 00.0000 0 NaN NaN
07 1 57 2 0 1 1 1 -1 0 -1 2 NaN NaN 00.5941 00.0000 00.0000 0 NaN NaN
07 1 58 17 0 1 2 1 +1 0 +1 2 NaN NaN 00.6427 00.0000 00.0000 0 NaN NaN
07 1 59 30 1 0 0 0 +0 0 +0 1 2 1 00.8817 00.5720 00.3869 0 0 0
07 1 60 13 1 0 0 0 +0 0 +0 2 NaN NaN 00.7017 00.0000 00.0000 1 NaN NaN
07 1 61 47 1 0 0 0 +0 0 +0 1 2 1 01.0181 00.3989 00.2854 0 0 0
