Line Length,Line Angle,Arrow Length,Arrow Angle,Estimate 1,Estimate 2,Estimate 3,Estimate 4
100,0,40,30,30,30,25,30
140,0,40,30,60,60,30,60
180,0,40,30,100,100,100,70
100,0,2.309401e+01,30,40,10,30,30
140,0,2.309401e+01,30,40,50,40,60
180,0,2.309401e+01,30,100,111,70,100
100,0,40,60,25,40,50,30
140,0,40,60,60,60,40,50
180,0,40,60,60,100,70,100
100,0,2.309401e+01,60,40,50,30,20
140,0,2.309401e+01,60,80,100,60,70
180,0,2.309401e+01,60,120,70,80,100
100,0,40,120,60,30,40,50
140,0,40,120,60,150,70,100
180,0,40,120,100,150,80,90
100,0,2.309401e+01,120,30,40,35,40
140,0,2.309401e+01,120,75,150,75,70
180,0,2.309401e+01,120,80,150,125,130
100,0,40,150,65,80,60,60
140,0,40,150,90,120,110,80
180,0,40,150,90,200,140,115
100,0,2.309401e+01,150,45,70,40,30
140,0,2.309401e+01,150,110,125,60,80
180,0,2.309401e+01,150,80,175,150,150
