Line Length,Line Angle,Arrow Length,Arrow Angle,Estimate 1,Estimate 2,Estimate 3,Estimate 4
100,0,40,30,40,50,50,60
140,0,40,30,50,70,50,90
180,0,40,30,100,100,80,100
100,0,2.309401e+01,30,50,70,50,50
140,0,2.309401e+01,30,50,10,50,70
180,0,2.309401e+01,30,80,100,100,100
100,0,40,60,50,45,50,50
140,0,40,60,70,70,60,100
180,0,40,60,100,100,110,100
100,0,2.309401e+01,60,75,50,50,50
140,0,2.309401e+01,60,80,70,70,80
180,0,2.309401e+01,60,90,80,70,100
100,0,40,120,40,70,70,70
140,0,40,120,100,100,70,80
180,0,40,120,125,100,100,140
100,0,2.309401e+01,120,50,45,50,55
140,0,2.309401e+01,120,100,100,90,100
180,0,2.309401e+01,120,100,125,100,100
100,0,40,150,50,80,50,80
140,0,40,150,100,100,100,70
180,0,40,150,150,125,125,140
100,0,2.309401e+01,150,75,50,50,50
140,0,2.309401e+01,150,100,100,80,95
180,0,2.309401e+01,150,150,130,125,100
