Subject Block Trial Dot_Coherence Sound_Direction Target_Location Response Response_Correct
02 03 24 +0.75 +0 -1 -1 1
02 03 25 +0.10 +1 -1 -1 1
02 03 26 +1.00 -1 +1 +1 1
02 03 27 +0.00 -1 -1 +1 1
02 03 28 +0.32 +1 +1 +1 1
02 03 29 +0.00 -1 +1 +1 0
02 03 30 +0.75 +1 -1 -1 1
02 03 31 +0.00 +1 +1 +1 1
02 03 32 +0.32 -1 -1 -1 1
02 03 33 +0.56 +1 +1 +1 1
02 03 34 +0.10 +0 -1 +1 0
02 03 35 +0.42 +0 -1 -1 1
02 03 36 +0.42 -1 +1 +1 1
02 03 37 +0.24 +0 +1 +1 1
02 03 38 +0.75 +1 +1 +1 1
02 03 39 +0.24 -1 -1 -1 1
02 03 40 +0.32 +1 -1 -1 1
02 03 41 +0.18 +0 -1 -1 1
02 03 42 +0.56 +0 +1 +1 1
02 03 43 +0.10 -1 -1 -1 1
02 03 44 +0.56 -1 -1 -1 1
02 03 45 +1.00 -1 -1 -1 1
02 03 46 +0.00 +0 -1 +1 0
02 03 47 +0.75 +0 +1 +1 1
02 03 48 +0.56 +0 -1 -1 1
02 03 49 +0.13 +1 -1 -1 1
02 03 50 +1.00 +1 +1 +1 1
02 03 51 +0.24 +0 -1 -1 1
02 03 52 +0.00 +0 +1 -1 0
02 03 53 +0.42 +1 -1 -1 1
02 03 54 +0.10 +0 +1 +1 1
02 03 55 +1.00 +0 +1 +1 1
02 03 56 +0.56 -1 +1 +1 1
02 03 57 +0.18 +0 +1 +1 1
02 03 58 +1.00 +0 -1 -1 1
02 03 59 +0.42 +1 +1 +1 1
02 03 60 +0.56 +1 -1 -1 1
02 04 01 +0.42 +1 -1 -1 1
02 04 02 +0.24 -1 -1 -1 1
02 04 03 +0.00 +0 +1 +1 0
02 04 04 +1.00 +0 +1 +1 1
02 04 05 +0.00 +0 -1 +1 1
02 04 06 +0.75 +1 +1 +1 1
02 04 07 +0.32 +0 +1 +1 1
02 04 08 +0.13 -1 -1 -1 1
02 04 09 +0.24 +1 -1 -1 1
02 04 10 +0.13 -1 +1 +1 1
02 04 11 +0.24 +0 -1 -1 1
02 04 12 +0.18 +1 -1 -1 1
02 04 13 +0.32 +0 -1 -1 1
02 04 14 +0.42 +1 +1 +1 1
02 04 15 +0.10 +1 +1 +1 1
02 04 16 +0.75 +1 -1 -1 1
02 04 17 +0.10 +0 -1 -1 1
02 04 18 +0.32 +1 +1 +1 1
02 04 19 +0.56 +0 -1 -1 1
02 04 20 +0.75 -1 +1 +1 1
02 04 21 +1.00 +1 +1 +1 1
02 04 22 +1.00 +0 -1 -1 1
02 04 23 +0.56 +1 -1 -1 1
02 04 24 +0.18 -1 +1 +1 1
02 04 25 +0.42 +0 +1 +1 1
02 04 26 +0.10 -1 -1 -1 1
02 04 27 +0.18 +0 +1 +1 1
02 04 28 +0.00 -1 -1 +1 1
02 04 29 +0.13 +0 -1 -1 1
02 04 30 +0.56 -1 -1 -1 1
02 04 31 +0.18 +0 -1 -1 1
02 04 32 +0.13 +0 +1 +1 1
02 04 33 +0.56 +0 +1 +1 1
02 04 34 +1.00 -1 -1 -1 1
02 04 35 +0.00 +1 +1 +1 1
02 04 36 +0.00 -1 +1 +1 1
02 04 37 +0.42 -1 -1 -1 1
02 04 38 +0.24 +1 +1 +1 1
02 04 39 +0.42 -1 +1 +1 1
02 04 40 +0.00 +1 -1 +1 0
02 04 41 +0.24 -1 +1 +1 1
02 04 42 +0.13 +1 -1 +1 0
02 04 43 +0.18 -1 -1 +1 0
02 04 44 +0.75 +0 -1 -1 1
02 04 45 +0.56 -1 +1 +1 1
02 04 46 +0.24 +0 +1 +1 1
02 04 47 +0.18 +1 +1 +1 1
02 04 48 +0.75 +0 +1 +1 1
02 04 49 +1.00 +1 -1 -1 1
02 04 50 +0.10 +1 -1 +1 0
02 04 51 +0.75 -1 -1 -1 1
02 04 52 +0.10 +0 +1 +1 1
02 04 53 +0.42 +0 -1 -1 1
02 04 54 +0.32 -1 -1 +1 0
02 04 55 +0.32 +1 -1 +1 0
02 04 56 +0.56 +1 +1 +1 1
