sub block trial obj foil exp maze DP turn attend pos resp1 resp2 resp3 RT1 RT2 RT3 correct1 correct2 correct3
Subject 01 -- attend vehicles
01 1 01 46 0 1 2 1 +1 0 -1 1 1 2 05.6844 01.1854 01.2309 1 0 1
01 1 02 19 1 0 0 0 +0 0 +0 1 1 1 03.2480 01.3505 00.7812 0 0 0
01 1 03 3 0 1 2 4 -1 0 -1 1 2 1 01.5746 01.0116 00.6810 1 1 1
01 1 04 12 0 1 2 4 +1 1 +1 1 1 2 03.5425 00.6244 00.9977 1 0 1
01 1 05 18 0 1 1 1 +1 0 -1 1 2 2 01.9262 00.7402 00.7402 1 0 1
01 1 06 14 1 0 0 0 +0 0 +0 2 NaN NaN 03.2966 00.0000 00.0000 1 NaN NaN
01 1 07 31 1 0 0 0 +0 0 +0 2 NaN NaN 01.0398 00.0000 00.0000 1 NaN NaN
01 1 08 29 0 1 2 4 -1 0 +1 1 1 1 01.1344 00.7341 00.7506 1 0 1
01 1 09 20 0 1 1 1 -1 1 +1 2 NaN NaN 01.4809 00.0000 00.0000 0 NaN NaN
01 1 10 17 0 1 2 4 +1 1 -1 1 2 2 00.9969 02.5542 01.3266 1 1 1
01 1 11 30 1 0 0 0 +0 0 +0 2 NaN NaN 01.3612 00.0000 00.0000 1 NaN NaN
01 1 12 7 0 1 2 1 +1 0 +1 2 NaN NaN 01.0100 00.0000 00.0000 0 NaN NaN
01 1 13 48 0 1 2 4 -1 1 +1 1 1 2 01.5219 01.9537 00.7351 1 0 0
01 1 14 16 0 1 1 3 -1 1 +1 2 NaN NaN 01.0667 00.0000 00.0000 0 NaN NaN
01 1 15 24 0 1 1 3 -1 1 -1 2 NaN NaN 01.0962 00.0000 00.0000 0 NaN NaN
01 1 16 1 0 1 1 4 -1 0 -1 2 NaN NaN 01.0765 00.0000 00.0000 0 NaN NaN
01 1 17 13 0 1 2 4 -1 1 -1 2 NaN NaN 03.4094 00.0000 00.0000 0 NaN NaN
01 1 18 8 0 1 2 1 +1 1 +1 1 2 2 02.2205 01.7401 00.5948 1 1 1
01 1 19 35 0 1 2 1 +1 0 -1 2 NaN NaN 00.7718 00.0000 00.0000 0 NaN NaN
01 1 20 10 0 1 1 4 -1 1 +1 1 1 2 01.3414 00.6442 00.5032 1 1 0
01 1 21 28 0 1 1 1 +1 1 +1 1 1 2 01.2289 00.8085 00.7895 1 1 1
01 1 22 36 0 1 1 4 -1 1 -1 1 1 1 01.3590 01.9417 01.2037 1 1 1
01 1 23 18 0 1 2 1 -1 1 -1 2 NaN NaN 01.4999 00.0000 00.0000 0 NaN NaN
01 1 24 9 0 1 2 1 +1 1 +1 1 2 2 01.0954 00.5046 00.3522 1 1 1
01 1 25 39 0 1 1 1 +1 0 -1 1 1 2 02.9717 00.9108 00.8077 1 1 1
01 1 26 5 0 1 2 1 +1 0 +1 2 NaN NaN 01.0543 00.0000 00.0000 0 NaN NaN
01 1 27 11 0 1 1 1 +1 1 +1 1 1 2 01.5959 00.8242 00.4679 1 1 1
01 1 28 29 0 1 1 1 -1 1 -1 2 NaN NaN 01.0339 00.0000 00.0000 0 NaN NaN
01 1 29 43 0 1 2 1 +1 1 -1 1 1 2 01.2882 00.6570 00.3897 1 0 1
01 1 30 45 0 1 1 3 +1 0 +1 2 NaN NaN 01.3912 00.0000 00.0000 0 NaN NaN
01 1 31 6 0 1 2 1 +1 1 -1 1 2 2 01.3750 01.2357 01.3926 1 1 1
01 1 32 11 0 1 2 3 -1 0 +1 2 NaN NaN 00.9921 00.0000 00.0000 0 NaN NaN
01 1 33 6 0 1 1 1 +1 0 +1 2 NaN NaN 01.1526 00.0000 00.0000 0 NaN NaN
01 1 34 41 0 1 2 3 -1 1 +1 2 NaN NaN 00.9861 00.0000 00.0000 0 NaN NaN
01 1 35 9 0 1 1 1 +1 0 +1 1 1 2 00.9712 00.5132 00.8116 1 1 1
01 1 36 2 0 1 1 1 -1 1 -1 2 NaN NaN 00.8675 00.0000 00.0000 0 NaN NaN
01 1 37 4 0 1 1 1 -1 0 +1 2 NaN NaN 00.9209 00.0000 00.0000 0 NaN NaN
01 1 38 19 0 1 1 4 +1 0 +1 2 NaN NaN 00.8447 00.0000 00.0000 0 NaN NaN
01 1 39 7 0 1 2 1 -1 1 +1 2 NaN NaN 01.2828 00.0000 00.0000 0 NaN NaN
01 1 40 8 0 1 1 1 -1 0 -1 2 NaN NaN 01.0153 00.0000 00.0000 0 NaN NaN
01 1 41 13 0 1 2 1 -1 0 -1 2 NaN NaN 01.1430 00.0000 00.0000 0 NaN NaN
01 1 42 24 1 0 0 0 +0 0 +0 2 NaN NaN 00.9927 00.0000 00.0000 1 NaN NaN
01 1 43 30 1 0 0 0 +0 0 +0 2 NaN NaN 00.7369 00.0000 00.0000 1 NaN NaN
01 1 44 15 1 0 0 0 +0 0 +0 2 NaN NaN 00.7005 00.0000 00.0000 1 NaN NaN
01 1 45 25 0 1 1 4 +1 1 -1 2 NaN NaN 01.4807 00.0000 00.0000 0 NaN NaN
01 1 46 38 0 1 1 1 -1 1 +1 2 NaN NaN 01.1084 00.0000 00.0000 0 NaN NaN
01 1 47 37 0 1 1 3 +1 1 +1 1 2 2 00.8478 00.7634 01.4506 1 0 1
01 1 48 21 0 1 2 4 +1 0 -1 1 2 2 01.4475 00.4740 00.6115 1 1 1
01 1 49 28 0 1 1 3 -1 0 +1 1 1 2 00.9474 00.3149 01.1969 1 1 0
01 1 50 12 0 1 1 1 -1 0 -1 2 NaN NaN 00.9803 00.0000 00.0000 0 NaN NaN
01 1 51 27 1 0 0 0 +0 0 +0 2 NaN NaN 00.8527 00.0000 00.0000 1 NaN NaN
01 1 52 31 0 1 2 3 +1 1 -1 1 2 2 01.0833 00.8452 00.6642 1 1 1
01 1 53 40 0 1 2 1 -1 0 +1 2 NaN NaN 01.2539 00.0000 00.0000 0 NaN NaN
01 1 54 21 0 1 2 3 +1 1 +1 2 NaN NaN 00.8278 00.0000 00.0000 0 NaN NaN
01 1 55 10 0 1 2 3 +1 0 -1 2 NaN NaN 00.6585 00.0000 00.0000 0 NaN NaN
01 1 56 42 1 0 0 0 +0 0 +0 2 NaN NaN 00.7368 00.0000 00.0000 1 NaN NaN
01 1 57 40 0 1 1 3 +1 1 -1 1 2 2 01.9158 01.0828 00.6526 1 0 1
01 1 58 35 1 0 0 0 +0 0 +0 2 NaN NaN 01.0516 00.0000 00.0000 1 NaN NaN
01 1 59 32 1 0 0 0 +0 0 +0 2 NaN NaN 01.0493 00.0000 00.0000 1 NaN NaN
01 1 60 25 0 1 2 1 -1 0 +1 1 2 2 01.1423 01.6701 00.4154 1 1 0
01 1 61 17 1 0 0 0 +0 0 +0 2 NaN NaN 01.2242 00.0000 00.0000 1 NaN NaN
01 1 62 1 1 0 0 0 +0 0 +0 2 NaN NaN 00.8309 00.0000 00.0000 1 NaN NaN
01 1 63 38 0 1 2 1 -1 0 -1 2 NaN NaN 00.5343 00.0000 00.0000 0 NaN NaN
01 1 64 44 0 1 2 4 +1 0 +1 2 NaN NaN 00.8577 00.0000 00.0000 0 NaN NaN
01 1 65 32 0 1 1 1 +1 1 -1 1 1 1 01.7438 00.9662 00.6210 1 1 0
01 1 66 46 0 1 2 3 -1 1 -1 2 NaN NaN 00.9574 00.0000 00.0000 0 NaN NaN
01 1 67 23 0 1 1 3 +1 0 -1 2 NaN NaN 00.7194 00.0000 00.0000 0 NaN NaN
01 1 68 26 0 1 1 3 -1 0 -1 2 NaN NaN 00.8109 00.0000 00.0000 0 NaN NaN
01 1 69 3 1 0 0 0 +0 0 +0 2 NaN NaN 00.7229 00.0000 00.0000 1 NaN NaN
01 1 70 44 1 0 0 0 +0 0 +0 2 NaN NaN 00.8787 00.0000 00.0000 1 NaN NaN
01 1 71 5 0 1 1 1 +1 1 -1 1 2 1 00.9479 00.4114 00.2651 1 0 0
01 1 72 2 0 1 2 3 +1 0 +1 2 NaN NaN 00.9517 00.0000 00.0000 0 NaN NaN
01 1 73 27 0 1 2 1 -1 1 -1 1 1 2 01.8976 00.2972 00.2999 1 0 0
01 1 74 22 0 1 1 1 -1 0 +1 2 NaN NaN 00.4896 00.0000 00.0000 0 NaN NaN
01 1 75 42 0 1 2 1 -1 1 +1 2 NaN NaN 01.1190 00.0000 00.0000 0 NaN NaN
01 1 76 47 0 1 1 4 -1 0 +1 2 NaN NaN 00.8585 00.0000 00.0000 0 NaN NaN
01 1 77 39 0 1 1 4 +1 1 +1 2 NaN NaN 00.7991 00.0000 00.0000 0 NaN NaN
01 1 78 4 1 0 0 0 +0 0 +0 1 2 2 00.6479 00.2680 00.1762 0 0 0
01 1 79 20 0 1 2 3 -1 0 -1 2 NaN NaN 00.6589 00.0000 00.0000 0 NaN NaN
01 1 80 48 0 1 1 4 +1 0 -1 2 NaN NaN 00.6091 00.0000 00.0000 0 NaN NaN
01 2 01 26 0 1 1 3 -1 0 -1 2 NaN NaN 00.9340 00.0000 00.0000 0 NaN NaN
01 2 02 25 0 1 1 4 +1 1 -1 2 NaN NaN 01.1766 00.0000 00.0000 0 NaN NaN
01 2 03 22 0 1 1 1 -1 0 +1 2 NaN NaN 00.4815 00.0000 00.0000 0 NaN NaN
01 2 04 44 1 0 0 0 +0 0 +0 1 2 2 00.8555 00.2432 00.8240 0 0 0
01 2 05 11 0 1 1 1 +1 1 +1 2 NaN NaN 02.9754 00.0000 00.0000 0 NaN NaN
01 2 06 20 0 1 2 3 -1 0 -1 2 NaN NaN 01.9173 00.0000 00.0000 0 NaN NaN
01 2 07 41 0 1 2 3 -1 1 +1 2 NaN NaN 01.0473 00.0000 00.0000 0 NaN NaN
01 2 08 21 0 1 2 4 +1 0 -1 1 2 2 00.9816 00.2039 00.4028 1 1 1
01 2 09 28 0 1 1 3 -1 0 +1 1 1 1 00.7962 00.2341 00.5275 1 1 1
01 2 10 35 1 0 0 0 +0 0 +0 2 NaN NaN 01.1875 00.0000 00.0000 1 NaN NaN
01 2 11 2 0 1 2 3 +1 0 +1 2 NaN NaN 01.2916 00.0000 00.0000 0 NaN NaN
01 2 12 21 0 1 2 3 +1 1 +1 2 NaN NaN 00.7840 00.0000 00.0000 0 NaN NaN
01 2 13 12 0 1 1 1 -1 0 -1 2 NaN NaN 00.9528 00.0000 00.0000 0 NaN NaN
01 2 14 31 0 1 2 3 +1 1 -1 2 NaN NaN 12.8914 00.0000 00.0000 0 NaN NaN
01 2 15 29 0 1 1 1 -1 1 -1 2 NaN NaN 01.6583 00.0000 00.0000 0 NaN NaN
01 2 16 8 0 1 2 1 +1 1 +1 1 1 2 01.0714 01.0259 00.2301 1 0 1
01 2 17 20 0 1 1 1 -1 1 +1 2 NaN NaN 01.0305 00.0000 00.0000 0 NaN NaN
01 2 18 48 0 1 2 4 -1 1 +1 1 1 2 01.1889 00.6266 01.0314 1 0 0
01 2 19 46 0 1 2 1 +1 0 -1 1 2 1 01.7661 00.4908 00.2618 1 1 0
01 2 20 16 0 1 1 3 -1 1 +1 1 2 1 01.8603 00.4540 00.1944 1 0 1
