sub block trial obj foil exp maze DP turn attend pos resp1 resp2 resp3 RT1 RT2 RT3 correct1 correct2 correct3
Subject 01 -- attend vehicles
01 6 50 31 0 1 2 3 +1 1 -1 1 2 1 06.1092 00.6833 00.9420 1 1 0
01 6 51 39 0 1 1 4 +1 1 +1 1 2 2 01.2477 00.1545 00.4356 1 0 1
01 6 52 17 0 1 2 4 +1 1 -1 1 2 2 00.6191 00.3847 00.1759 1 1 1
01 6 53 8 0 1 2 1 +1 1 +1 1 2 1 01.7305 01.2092 00.4540 1 1 0
01 6 54 38 0 1 2 1 -1 0 -1 2 NaN NaN 00.9251 00.0000 00.0000 0 NaN NaN
01 6 55 9 0 1 2 1 +1 1 +1 1 2 2 00.7361 00.2406 00.2136 1 1 1
01 6 56 12 0 1 1 1 -1 0 -1 2 NaN NaN 00.4861 00.0000 00.0000 0 NaN NaN
01 6 57 15 1 0 0 0 +0 0 +0 2 NaN NaN 00.5234 00.0000 00.0000 1 NaN NaN
01 6 58 19 0 1 1 4 +1 0 +1 2 NaN NaN 00.6241 00.0000 00.0000 0 NaN NaN
01 6 59 4 0 1 1 1 -1 0 +1 2 NaN NaN 00.5118 00.0000 00.0000 0 NaN NaN
01 6 60 1 1 0 0 0 +0 0 +0 2 NaN NaN 01.3639 00.0000 00.0000 1 NaN NaN
01 6 61 20 0 1 1 1 -1 1 +1 2 NaN NaN 01.6523 00.0000 00.0000 0 NaN NaN
01 6 62 31 1 0 0 0 +0 0 +0 2 NaN NaN 00.5916 00.0000 00.0000 1 NaN NaN
01 6 63 32 0 1 1 1 +1 1 -1 1 2 1 01.2648 00.7150 01.5163 1 0 0
01 6 64 37 0 1 1 3 +1 1 +1 1 2 2 02.1349 01.4848 00.2219 1 0 1
01 6 65 29 0 1 1 1 -1 1 -1 2 NaN NaN 00.6705 00.0000 00.0000 0 NaN NaN
01 6 66 42 0 1 2 1 -1 1 +1 2 NaN NaN 00.9408 00.0000 00.0000 0 NaN NaN
01 6 67 4 1 0 0 0 +0 0 +0 1 1 2 00.7995 00.2691 00.4015 0 0 0
01 6 68 27 1 0 0 0 +0 0 +0 2 NaN NaN 01.7861 00.0000 00.0000 1 NaN NaN
01 6 69 35 0 1 2 1 +1 0 -1 1 2 1 01.5137 00.4576 00.5498 1 1 0
01 6 70 40 0 1 2 1 -1 0 +1 2 NaN NaN 00.6165 00.0000 00.0000 0 NaN NaN
01 6 71 1 0 1 1 4 -1 0 -1 2 NaN NaN 01.4649 00.0000 00.0000 0 NaN NaN
01 6 72 10 0 1 1 4 -1 1 +1 1 2 1 00.8371 00.2255 01.5430 1 0 1
01 6 73 18 0 1 2 1 -1 1 -1 2 NaN NaN 00.7523 00.0000 00.0000 0 NaN NaN
01 6 74 17 1 0 0 0 +0 0 +0 2 NaN NaN 00.3792 00.0000 00.0000 1 NaN NaN
01 6 75 27 0 1 2 1 -1 1 -1 1 2 2 00.7095 00.2955 00.2502 1 1 0
01 6 76 29 0 1 2 4 -1 0 +1 2 NaN NaN 00.4900 00.0000 00.0000 0 NaN NaN
01 6 77 42 1 0 0 0 +0 0 +0 2 NaN NaN 00.5601 00.0000 00.0000 1 NaN NaN
01 6 78 18 0 1 1 1 +1 0 -1 2 NaN NaN 00.5147 00.0000 00.0000 0 NaN NaN
01 6 79 21 0 1 2 3 +1 1 +1 2 NaN NaN 00.7428 00.0000 00.0000 0 NaN NaN
01 6 80 25 0 1 1 4 +1 1 -1 2 NaN NaN 00.9142 00.0000 00.0000 0 NaN NaN
