Line Length,Line Angle,Arrow Length,Arrow Angle,Estimate 1,Estimate 2,Estimate 3,Estimate 4
100,0,40,30,30,40,40,40
140,0,40,30,60,60,60,50
180,0,40,30,60,50,0,50
100,0,2.309401e+01,30,40,40,40,30
140,0,2.309401e+01,30,50,60,100,60
180,0,2.309401e+01,30,0,60,0,50
100,0,40,60,40,40,40,20
140,0,40,60,60,40,50,30
180,0,40,60,100,60,80,50
100,0,2.309401e+01,60,50,40,50,40
140,0,2.309401e+01,60,60,50,60,60
180,0,2.309401e+01,60,0,60,80,100
100,0,40,120,60,50,60,33
140,0,40,120,50,50,70,50
180,0,40,120,100,80,90,50
100,0,2.309401e+01,120,40,40,40,42
140,0,2.309401e+01,120,100,80,100,70
180,0,2.309401e+01,120,100,100,80,80
100,0,40,150,50,40,80,60
140,0,40,150,100,60,100,70
180,0,40,150,0,100,100,96
100,0,2.309401e+01,150,60,60,60,43
140,0,2.309401e+01,150,100,60,80,0
180,0,2.309401e+01,150,100,80,100,0
