Line Length,Line Angle,Arrow Length,Arrow Angle,Estimate 1,Estimate 2,Estimate 3,Estimate 4
100,0,40,30,30,15,20,30
140,0,40,30,50,0,70,80
180,0,40,30,70,50,60,90
100,0,2.309401e+01,30,20,30,30,20
140,0,2.309401e+01,30,90,30,60,50
180,0,2.309401e+01,30,80,50,50,50
100,0,40,60,20,20,40,40
140,0,40,60,40,40,60,60
180,0,40,60,115,80,70,80
100,0,2.309401e+01,60,30,20,60,40
140,0,2.309401e+01,60,60,40,40,90
180,0,2.309401e+01,60,120,60,80,70
100,0,40,120,60,40,30,30
140,0,40,120,70,60,80,70
180,0,40,120,130,70,100,80
100,0,2.309401e+01,120,60,40,60,40
140,0,2.309401e+01,120,65,60,70,80
180,0,2.309401e+01,120,110,100,90,100
100,0,40,150,80,50,60,50
140,0,40,150,110,50,80,70
180,0,40,150,110,80,110,110
100,0,2.309401e+01,150,60,20,40,60
140,0,2.309401e+01,150,110,60,40,70
180,0,2.309401e+01,150,70,120,80,100
