sub block trial obj foil exp maze DP turn attend pos resp1 resp2 resp3 RT1 RT2 RT3 correct1 correct2 correct3
99 1 01 f05 0 1 2 1 +1 0 +1 1 1 1 05.1813 00.7420 00.8747 1 0 0
99 2 01 f29 0 1 2 3 +1 0 +1 2 NaN NaN 00.3059 00.0000 00.0000 0 NaN NaN
99 3 01 f26 0 1 1 4 +1 0 -1 2 NaN NaN 00.0908 00.0000 00.0000 0 NaN NaN
99 4 01 f15 0 1 2 4 -1 0 +1 1 2 1 -0.1670 00.4238 00.2317 1 1 1
99 5 01 v48 0 1 1 1 +1 1 +1 2 NaN NaN 00.3032 00.0000 00.0000 0 NaN NaN
99 6 01 v30 0 1 2 3 +1 1 +1 2 NaN NaN -0.2235 00.0000 00.0000 0 NaN NaN
99 7 01 f20 0 1 2 1 -1 0 +1 2 NaN NaN -0.5400 00.0000 00.0000 0 NaN NaN
99 8 01 f48 1 0 0 0 +0 0 +0 2 NaN NaN -0.4214 00.0000 00.0000 1 NaN NaN
99 9 01 v16 0 1 2 3 +1 1 -1 2 NaN NaN -0.3703 00.0000 00.0000 0 NaN NaN
99 10 01 v07 0 1 1 4 +1 1 -1 2 NaN NaN -0.2520 00.0000 00.0000 0 NaN NaN
99 11 01 v37 1 0 0 0 +0 0 +0 2 NaN NaN 00.6552 00.0000 00.0000 1 NaN NaN
99 12 01 f47 1 0 0 0 +0 0 +0 1 2 2 01.3154 01.1961 02.1987 0 0 0
99 13 01 f46 0 1 2 1 +1 0 -1 1 1 2 02.4818 00.8231 01.0473 1 0 1
99 14 01 v47 0 1 2 1 +1 1 -1 1 2 1 01.6970 00.9762 02.2484 1 1 0
