sub block trial obj foil exp maze DP turn attend pos resp1 resp2 resp3 RT1 RT2 RT3 correct1 correct2 correct3
99 1 01 f05 0 1 2 1 +1 0 +1 2 NaN NaN 01.2993     NaN     NaN 0 NaN NaN
99 2 01 f29 0 1 2 3 +1 0 +1 2 NaN NaN 00.8598     NaN     NaN 0 NaN NaN
99 3 01 f26 0 1 1 4 +1 0 -1 2 NaN NaN 00.4831     NaN     NaN 0 NaN NaN
99 4 01 f15 0 1 2 4 -1 0 +1 2 NaN NaN 00.4220     NaN     NaN 0 NaN NaN
99 5 01 v48 0 1 1 1 +1 1 +1 2 NaN NaN 00.4838     NaN     NaN 0 NaN NaN
99 6 01 v30 0 1 2 3 +1 1 +1 2 NaN NaN 00.2654     NaN     NaN 0 NaN NaN
99 7 01 f20 0 1 2 1 -1 0 +1 2 NaN NaN 00.4298     NaN     NaN 0 NaN NaN
99 8 01 f48 1 0 0 0 +0 0 +0 2 NaN NaN 00.3739     NaN     NaN 1 NaN NaN
99 9 01 v16 0 1 2 3 +1 1 -1 2 NaN NaN 00.4623     NaN     NaN 0 NaN NaN
99 10 01 v07 0 1 1 4 +1 1 -1 2 NaN NaN 00.3740     NaN     NaN 0 NaN NaN
99 11 01 v37 1 0 0 0 +0 0 +0 2 NaN NaN 00.7443     NaN     NaN 1 NaN NaN
99 12 01 f47 1 0 0 0 +0 0 +0 2 NaN NaN 01.1364     NaN     NaN 1 NaN NaN
99 13 01 f46 0 1 2 1 +1 0 -1 2 NaN NaN 00.5029     NaN     NaN 0 NaN NaN
99 14 01 v47 0 1 2 1 +1 1 -1 2 NaN NaN 01.9214     NaN     NaN 0 NaN NaN
99 15 01 f12 0 1 1 4 -1 0 -1 2 NaN NaN 00.5713     NaN     NaN 0 NaN NaN
99 16 01 f01 0 1 1 3 +1 0 -1 2 NaN NaN 00.2692     NaN     NaN 0 NaN NaN
99 17 01 v27 1 0 0 0 +0 0 +0 2 NaN NaN 00.3579     NaN     NaN 1 NaN NaN
99 18 01 v10 0 1 1 4 -1 1 -1 2 NaN NaN 00.2951     NaN     NaN 0 NaN NaN
99 19 01 v31 0 1 1 3 +1 1 +1 2 NaN NaN 00.3211     NaN     NaN 0 NaN NaN
99 20 01 f41 0 1 2 4 +1 0 -1 2 NaN NaN 00.3659     NaN     NaN 0 NaN NaN
99 21 01 f11 0 1 1 1 +1 0 +1 2 NaN NaN 00.5669     NaN     NaN 0 NaN NaN
99 22 01 f43 0 1 1 1 -1 0 -1 2 NaN NaN 00.4452     NaN     NaN 0 NaN NaN
99 23 01 f07 0 1 2 1 +1 0 +1 2 NaN NaN 00.2929     NaN     NaN 0 NaN NaN
99 24 01 v23 0 1 1 4 +1 1 +1 2 NaN NaN 00.4720     NaN     NaN 0 NaN NaN
99 25 01 v46 0 1 2 4 -1 1 -1 2 NaN NaN 00.3035     NaN     NaN 0 NaN NaN
99 26 01 f35 0 1 2 3 -1 0 -1 2 NaN NaN 00.2968     NaN     NaN 0 NaN NaN
99 27 01 f19 0 1 1 1 -1 0 +1 2 NaN NaN 00.3183     NaN     NaN 0 NaN NaN
99 28 01 v35 0 1 1 1 -1 1 +1 2 NaN NaN 00.4012     NaN     NaN 0 NaN NaN
99 29 01 v38 0 1 2 4 +1 1 +1 2 NaN NaN 00.3216     NaN     NaN 0 NaN NaN
99 30 01 f30 1 0 0 0 +0 0 +0 2 NaN NaN 00.3144     NaN     NaN 1 NaN NaN
99 31 01 v17 1 0 0 0 +0 0 +0 2 NaN NaN 00.3894     NaN     NaN 1 NaN NaN
99 32 01 f06 0 1 1 1 +1 0 -1 2 NaN NaN 00.5401     NaN     NaN 0 NaN NaN
99 33 01 f39 0 1 2 3 +1 0 -1 2 NaN NaN 00.3385     NaN     NaN 0 NaN NaN
99 34 01 f13 1 0 0 0 +0 0 +0 2 NaN NaN 00.4277     NaN     NaN 1 NaN NaN
99 35 01 f09 0 1 1 1 +1 0 +1 2 NaN NaN 00.4674     NaN     NaN 0 NaN NaN
99 36 01 v21 1 0 0 0 +0 0 +0 2 NaN NaN 01.1854     NaN     NaN 1 NaN NaN
99 37 01 f27 1 0 0 0 +0 0 +0 2 NaN NaN 00.3778     NaN     NaN 1 NaN NaN
99 38 01 v22 0 1 1 3 -1 1 -1 2 NaN NaN 00.3155     NaN     NaN 0 NaN NaN
99 39 01 v20 0 1 2 3 -1 1 +1 2 NaN NaN 00.4775     NaN     NaN 0 NaN NaN
99 40 01 v33 0 1 1 4 -1 1 +1 2 NaN NaN 00.3381     NaN     NaN 0 NaN NaN
99 41 01 f34 0 1 2 1 -1 0 -1 2 NaN NaN 00.3487     NaN     NaN 0 NaN NaN
99 42 01 f02 0 1 1 4 +1 0 +1 2 NaN NaN 00.2841     NaN     NaN 0 NaN NaN
99 43 01 v42 0 1 1 3 -1 1 +1 1 1 1 00.5024 01.8650 00.7785 1 1 1
