sub block trial obj foil exp maze DP turn attend pos resp1 resp2 resp3 RT1 RT2 RT3 correct1 correct2 correct3
99 1 01 f05 0 1 2 1 +1 0 +1 2 NaN NaN 01.6721 00.0000 00.0000 0 NaN NaN
99 2 01 f29 0 1 2 3 +1 0 +1 2 NaN NaN 00.2341 00.0000 00.0000 0 NaN NaN
99 3 01 f26 0 1 1 4 +1 0 -1 2 NaN NaN 00.1368 00.0000 00.0000 0 NaN NaN
99 4 01 f15 0 1 2 4 -1 0 +1 2 NaN NaN 00.0439 00.0000 00.0000 0 NaN NaN
99 5 01 v48 0 1 1 1 +1 1 +1 2 NaN NaN -0.3600 00.0000 00.0000 0 NaN NaN
99 6 01 v30 0 1 2 3 +1 1 +1 2 NaN NaN -0.3985 00.0000 00.0000 0 NaN NaN
99 7 01 f20 0 1 2 1 -1 0 +1 2 NaN NaN -0.4604 00.0000 00.0000 0 NaN NaN
99 8 01 f48 1 0 0 0 +0 0 +0 2 NaN NaN -0.4980 00.0000 00.0000 1 NaN NaN
99 9 01 v16 0 1 2 3 +1 1 -1 2 NaN NaN 00.7230 00.0000 00.0000 0 NaN NaN
99 10 01 v07 0 1 1 4 +1 1 -1 2 NaN NaN 01.1026 00.0000 00.0000 0 NaN NaN
99 11 01 v37 1 0 0 0 +0 0 +0 2 NaN NaN -0.1604 00.0000 00.0000 1 NaN NaN
99 12 01 f47 1 0 0 0 +0 0 +0 2 NaN NaN 00.7119 00.0000 00.0000 1 NaN NaN
99 13 01 f46 0 1 2 1 +1 0 -1 2 NaN NaN -0.3926 00.0000 00.0000 0 NaN NaN
