Subject Block Trial Dot_Coherence Sound_Direction Response
04 01 01 -0.32 +0 -1
04 01 02 -0.32 -1 -1
04 01 03 -0.18 +1 -1
04 01 04 +0.10 -1 -1
04 01 05 -1.00 +1 -1
04 01 06 -0.10 +1 +1
04 01 07 +0.18 -1 +1
04 01 08 +0.18 +0 +1
04 01 09 +0.32 +1 +1
04 01 10 +0.00 +0 +1
04 01 11 -0.10 +0 +1
04 01 12 -0.18 +0 +1
04 01 13 +0.10 +1 +1
04 01 14 -0.10 -1 -1
04 01 15 +1.00 +1 +1
04 01 16 +0.56 -1 +1
04 01 17 +0.18 +1 +1
04 01 18 +0.10 +0 +1
04 01 19 -0.18 -1 +1
04 01 20 -1.00 -1 -1
04 01 21 -0.56 -1 -1
04 01 22 +0.32 -1 +1
04 01 23 +0.32 +0 +1
04 01 24 -0.32 +1 -1
04 01 25 +0.00 +1 +1
04 01 26 +1.00 +0 +1
04 01 27 +0.56 +1 +1
04 01 28 +0.56 +0 +1
04 01 29 +0.00 -1 +1
04 01 30 -0.56 +1 -1
04 01 31 +1.00 -1 +1
04 01 32 -0.56 +0 -1
04 01 33 -1.00 +0 -1
04 02 01 +0.10 +0 -1
04 02 02 -0.10 -1 -1
04 02 03 +0.00 +0 -1
04 02 04 -1.00 +0 -1
04 02 05 +0.18 -1 +1
04 02 06 +0.18 +1 +1
04 02 07 +0.32 +0 +1
04 02 08 +1.00 +0 +1
04 02 09 -0.10 +1 -1
04 02 10 +0.00 +1 +1
04 02 11 -0.32 +0 -1
04 02 12 +0.00 -1 -1
04 02 13 +1.00 +1 +1
04 02 14 -0.18 +0 -1
04 02 15 +0.10 -1 +1
04 02 16 +0.56 -1 +1
04 02 17 -0.32 -1 -1
04 02 18 +0.56 +1 +1
04 02 19 +1.00 -1 +1
04 02 20 -0.32 +1 -1
04 02 21 +0.32 -1 +1
04 02 22 -0.18 +1 -1
04 02 23 +0.18 +0 +1
04 02 24 -0.18 -1 -1
04 02 25 +0.56 +0 +1
04 02 26 +0.10 +1 +1
04 02 27 -0.10 +0 -1
04 02 28 -0.56 -1 -1
04 02 29 +0.32 +1 -1
04 02 30 -1.00 +1 -1
04 02 31 -0.56 +1 -1
04 02 32 -1.00 -1 -1
04 02 33 -0.56 +0 -1
04 03 01 -0.32 -1 -1
04 03 02 -0.18 +0 -1
04 03 03 -0.18 -1 -1
04 03 04 +0.32 -1 +1
04 03 05 +1.00 +0 +1
04 03 06 +0.56 +1 +1
04 03 07 +1.00 +1 +1
04 03 08 +0.10 -1 +1
04 03 09 -0.10 +1 -1
04 03 10 +0.18 +1 +1
04 03 11 +0.18 -1 +1
04 03 12 -0.32 +1 +1
04 03 13 +0.00 -1 -1
04 03 14 +0.32 +1 +1
04 03 15 -1.00 +0 -1
04 03 16 -0.56 +1 -1
04 03 17 -1.00 +1 -1
04 03 18 -1.00 -1 -1
04 03 19 +0.10 +0 +1
04 03 20 +0.32 +0 +1
04 03 21 +0.18 +0 +1
04 03 22 -0.10 +0 -1
