Line Length,Line Angle,Arrow Length,Arrow Angle,Estimate 1,Estimate 2,Estimate 3,Estimate 4
100,0,40,30,55,45,40,40
140,0,40,30,80,70,80,70
180,0,40,30,100,100,80,100
100,0,2.309401e+01,30,40,50,57,30
140,0,2.309401e+01,30,65,60,70,70
180,0,2.309401e+01,30,110,100,100,100
100,0,40,60,70,70,60,55
140,0,40,60,70,90,70,80
180,0,40,60,100,100,105,100
100,0,2.309401e+01,60,60,60,67,63
140,0,2.309401e+01,60,75,75,80,85
180,0,2.309401e+01,60,110,100,100,100
100,0,40,120,70,75,69,79
140,0,40,120,100,100,110,85
180,0,40,120,105,100,110,105
100,0,2.309401e+01,120,50,70,69,65
140,0,2.309401e+01,120,100,95,100,90
180,0,2.309401e+01,120,110,120,100,105
100,0,40,150,50,55,60,60
140,0,40,150,85,100,90,100
180,0,40,150,130,130,130,120
100,0,2.309401e+01,150,60,8,78,65
140,0,2.309401e+01,150,110,110,100,100
180,0,2.309401e+01,150,120,100,110,115
