Line Length,Line Angle,Arrow Length,Arrow Angle,Estimate 1,Estimate 2,Estimate 3,Estimate 4
100,0,40,30,70,60,90,70
140,0,40,30,80,90,90,80
180,0,40,30,100,110,100,110
100,0,2.309401e+01,30,70,60,80,70
140,0,2.309401e+01,30,70,90,100,110
180,0,2.309401e+01,30,110,130,120,110
100,0,40,60,70,80,80,80
140,0,40,60,80,110,90,120
180,0,40,60,120,120,100,120
100,0,2.309401e+01,60,60,80,80,90
140,0,2.309401e+01,60,80,100,110,90
180,0,2.309401e+01,60,110,130,100,100
100,0,40,120,90,110,110,110
140,0,40,120,100,110,90,120
180,0,40,120,120,120,140,120
100,0,2.309401e+01,120,70,90,70,80
140,0,2.309401e+01,120,110,110,100,110
180,0,2.309401e+01,120,110,20,130,120
100,0,40,150,80,90,100,120
140,0,40,150,90,120,110,110
180,0,40,150,110,120,130,130
100,0,2.309401e+01,150,90,120,100,100
140,0,2.309401e+01,150,110,110,110,110
180,0,2.309401e+01,150,110,120,120,120
