Subject Block Trial Dot_Coherence Sound_Direction Response
05 06 22 -1.00 +0 -1
05 06 23 -0.32 +1 -1
05 06 24 +0.18 +1 +1
05 06 25 +0.10 +0 +1
05 06 26 +0.10 -1 +1
05 06 27 +0.00 +0 -1
05 06 28 -0.18 -1 -1
05 06 29 +0.32 -1 +1
05 06 30 -0.56 -1 -1
05 06 31 -0.10 -1 -1
05 06 32 +0.56 +0 +1
05 06 33 +0.32 +0 +1
05 07 01 +0.18 +1 +1
05 07 02 +0.18 +0 +1
05 07 03 -0.56 -1 -1
05 07 04 -0.10 -1 -1
05 07 05 -0.18 -1 -1
05 07 06 +0.18 -1 +1
05 07 07 -1.00 +0 -1
05 07 08 -0.10 +0 -1
05 07 09 +0.32 +1 +1
05 07 10 -1.00 -1 -1
05 07 11 +1.00 -1 +1
05 07 12 +0.56 +0 +1
05 07 13 +0.32 +0 +1
05 07 14 +0.56 -1 +1
05 07 15 +0.10 -1 +1
05 07 16 +0.32 -1 +1
05 07 17 +0.00 +0 +1
05 07 18 +0.00 -1 -1
05 07 19 +1.00 +1 +1
05 07 20 -1.00 +1 -1
05 07 21 -0.10 +1 +1
05 07 22 -0.56 +1 -1
05 07 23 -0.32 -1 -1
05 07 24 -0.56 +0 -1
05 07 25 -0.18 +0 -1
05 07 26 +0.10 +0 -1
05 07 27 +0.56 +1 +1
05 07 28 +0.10 +1 +1
05 07 29 +1.00 +0 +1
05 07 30 -0.18 +1 -1
05 07 31 +0.00 +1 +1
05 07 32 -0.32 +1 -1
05 07 33 -0.32 +0 +1
05 08 01 -0.56 +1 -1
05 08 02 -0.32 -1 -1
05 08 03 -0.10 +1 +1
05 08 04 -0.56 -1 -1
05 08 05 -1.00 +0 -1
05 08 06 +0.32 +0 +1
05 08 07 +0.56 -1 -1
05 08 08 -0.18 +1 -1
05 08 09 -1.00 -1 -1
05 08 10 +0.32 +1 +1
05 08 11 +0.10 +1 -1
05 08 12 +0.10 +0 +1
05 08 13 +0.56 +1 +1
05 08 14 +1.00 +1 +1
05 08 15 +0.00 +1 -1
05 08 16 +1.00 -1 +1
05 08 17 +0.56 +0 +1
05 08 18 +0.18 +0 +1
05 08 19 +0.00 -1 -1
05 08 20 +0.18 -1 +1
05 08 21 -0.10 -1 -1
05 08 22 -0.10 +0 -1
05 08 23 -0.56 +0 -1
05 08 24 -0.32 +1 -1
05 08 25 +1.00 +0 +1
05 08 26 +0.32 -1 +1
05 08 27 -0.18 -1 -1
05 08 28 -0.18 +0 +1
05 08 29 +0.18 +1 +1
05 08 30 -1.00 +1 -1
05 08 31 +0.00 +0 +1
05 08 32 +0.10 -1 -1
05 08 33 -0.32 +0 -1
05 09 01 +0.18 -1 +1
05 09 02 -0.18 -1 -1
05 09 03 +0.10 -1 +1
05 09 04 +0.10 +1 +1
05 09 05 -0.32 +0 -1
05 09 06 +0.00 -1 +1
05 09 07 -0.32 -1 -1
05 09 08 +0.56 +0 +1
05 09 09 -0.10 +0 -1
05 09 10 -0.10 +1 -1
05 09 11 -0.18 +1 -1
05 09 12 -1.00 -1 -1
05 09 13 +0.32 +1 +1
05 09 14 -0.10 -1 -1
05 09 15 +1.00 -1 +1
05 09 16 +0.00 +1 -1
05 09 17 +1.00 +0 +1
05 09 18 -1.00 +1 -1
05 09 19 -0.18 +0 -1
05 09 20 +0.18 +0 +1
05 09 21 -0.32 +1 -1
05 09 22 +0.32 +0 +1
05 09 23 +0.10 +0 +1
05 09 24 -1.00 +0 -1
05 09 25 +0.56 -1 +1
05 09 26 -0.56 -1 -1
05 09 27 +0.00 +0 +1
05 09 28 +0.56 +1 +1
05 09 29 +1.00 +1 +1
05 09 30 -0.56 +0 -1
05 09 31 +0.32 -1 +1
05 09 32 +0.18 +1 +1
05 09 33 -0.56 +1 -1
05 10 01 +0.00 +0 +1
05 10 02 +0.18 -1 +1
05 10 03 -0.10 +0 +1
05 10 04 +0.10 +1 +1
05 10 05 -0.32 +1 -1
05 10 06 +0.56 +0 +1
05 10 07 -1.00 +1 -1
05 10 08 +1.00 +1 +1
05 10 09 +0.56 -1 +1
05 10 10 +0.32 +1 +1
05 10 11 -0.32 +0 -1
05 10 12 -0.32 -1 -1
05 10 13 +0.32 +0 +1
05 10 14 -0.18 +1 -1
05 10 15 -0.10 +1 -1
05 10 16 +0.18 +1 +1
05 10 17 -0.56 -1 -1
05 10 18 +0.32 -1 +1
05 10 19 +1.00 +0 +1
05 10 20 +0.00 -1 -1
05 10 21 +0.10 -1 +1
05 10 22 -0.10 -1 -1
