Subject Block Trial Dot_Coherence Sound_Direction Response
01 01 01 -0.15 +1 -1
01 01 02 -0.30 -1 -1
01 01 03 +0.15 +1 -1
01 01 04 -0.15 +0 -1
01 01 05 -0.30 +0 -1
01 01 06 +0.30 +0 +1
01 01 07 +1.00 +0 +1
01 01 08 -0.60 +1 +1
01 01 09 -1.00 -1 -1
01 01 10 -1.00 +0 -1
01 01 11 +0.15 +0 -1
01 01 12 -0.60 -1 -1
01 01 13 +0.30 +1 +1
01 01 14 -0.30 +1 -1
01 01 15 +0.30 -1 -1
01 01 16 -0.60 +0 +1
01 01 17 -0.15 -1 -1
01 01 18 +0.00 +1 -1
01 01 19 +0.60 -1 +1
01 01 20 +0.60 +1 +1
01 01 21 +0.00 +0 +1
01 01 22 -1.00 +1 -1
01 01 23 +0.60 +0 -1
01 01 24 +1.00 +1 +1
01 01 25 +1.00 -1 +1
01 01 26 +0.00 -1 +1
01 01 27 +0.15 -1 +1
01 02 01 -0.30 -1 -1
01 02 02 -0.15 +0 -1
01 02 03 +0.60 -1 +1
01 02 04 +0.15 +1 +1
01 02 05 -0.60 -1 -1
01 02 06 +0.15 -1 -1
01 02 07 +1.00 -1 +1
01 02 08 -0.15 +1 -1
01 02 09 +1.00 +1 +1
01 02 10 +1.00 +0 +1
01 02 11 -0.30 +0 -1
01 02 12 -1.00 +1 -1
01 02 13 +0.60 +1 +1
01 02 14 +0.15 +0 -1
01 02 15 +0.30 +1 +1
01 02 16 -0.30 +1 -1
01 02 17 -0.15 -1 -1
01 02 18 +0.00 +1 -1
01 02 19 +0.60 +0 -1
01 02 20 -0.60 +1 -1
01 02 21 +0.30 -1 +1
01 02 22 -0.60 +0 -1
01 02 23 +0.30 +0 -1
01 02 24 -1.00 -1 -1
01 02 25 +0.00 -1 -1
01 02 26 -1.00 +0 -1
01 02 27 +0.00 +0 -1
