Line Length,Line Angle,Arrow Length,Arrow Angle,Estimate 1,Estimate 2,Estimate 3,Estimate 4
100,0,40,30,80,50,50,60
140,0,40,30,80,90,95,85
180,0,40,30,100,100,110,105
100,0,2.309401e+01,30,80,70,75,55
140,0,2.309401e+01,30,90,80,90,95
180,0,2.309401e+01,30,110,105,105,100
100,0,40,60,75,75,60,60
140,0,40,60,100,95,90,85
180,0,40,60,110,105,105,105
100,0,2.309401e+01,60,80,60,80,70
140,0,2.309401e+01,60,80,100,90,75
180,0,2.309401e+01,60,110,105,110,105
100,0,40,120,80,80,85,75
140,0,40,120,110,100,110,100
180,0,40,120,110,110,120,110
100,0,2.309401e+01,120,80,90,90,85
140,0,2.309401e+01,120,110,100,95,100
180,0,2.309401e+01,120,110,110,120,110
100,0,40,150,85,80,75,65
140,0,40,150,115,100,105,100
180,0,40,150,120,120,120,110
100,0,2.309401e+01,150,100,80,85,80
140,0,2.309401e+01,150,105,100,100,100
180,0,2.309401e+01,150,120,120,115,110
