Line Length,Line Angle,Arrow Length,Arrow Angle,Estimate 1,Estimate 2,Estimate 3,Estimate 4
100,0,40,30,80,80,75,70
140,0,40,30,90,90,80,95
180,0,40,30,100,100,110,115
100,0,2.309401e+01,30,80,70,90,70
140,0,2.309401e+01,30,100,100,90,90
180,0,2.309401e+01,30,110,110,120,100
100,0,40,60,70,80,80,80
140,0,40,60,90,90,100,90
180,0,40,60,110,110,100,100
100,0,2.309401e+01,60,80,70,90,70
140,0,2.309401e+01,60,85,90,100,90
180,0,2.309401e+01,60,110,110,110,100
100,0,40,120,90,80,90,80
140,0,40,120,100,100,100,100
180,0,40,120,120,120,105,120
100,0,2.309401e+01,120,80,100,90,90
140,0,2.309401e+01,120,100,110,100,100
180,0,2.309401e+01,120,120,120,120,110
100,0,40,150,100,70,100,95
140,0,40,150,100,110,100,100
180,0,40,150,120,120,120,120
100,0,2.309401e+01,150,100,70,90,80
140,0,2.309401e+01,150,100,110,110,100
180,0,2.309401e+01,150,120,110,110,110
