Line Length,Line Angle,Arrow Length,Arrow Angle,Estimate 1,Estimate 2,Estimate 3,Estimate 4
100,0,40,30,75,25,25,50
140,0,40,30,100,100,75,100
180,0,40,30,125,125,125,125
100,0,2.309401e+01,30,75,50,25,50
140,0,2.309401e+01,30,100,100,100,75
180,0,2.309401e+01,30,100,125,125,100
100,0,40,60,50,50,75,75
140,0,40,60,1.000000e+02,100,100,100
180,0,40,60,100,100,125,125
100,0,2.309401e+01,60,75,50,75,50
140,0,2.309401e+01,60,100,100,100,100
180,0,2.309401e+01,60,1.245000e+02,125,125,125
100,0,40,120,75,75,75,75
140,0,40,120,125,100,100,100
180,0,40,120,189,125,125,125
100,0,2.309401e+01,120,76,75,75,75
140,0,2.309401e+01,120,100,100,100,100
180,0,2.309401e+01,120,125,130,125,125
100,0,40,150,100,75,75,75
140,0,40,150,125,125,125,125
180,0,40,150,200,200,150,125
100,0,2.309401e+01,150,100,75,75,75
140,0,2.309401e+01,150,100,100,125,125
180,0,2.309401e+01,150,200,150,100,125
