Subject Block Trial Dot_Coherence Sound_Direction Target_Location Response Response_Correct
99 04 31 +1.00 -1 +1 +1
99 04 32 +0.00 +0 -1 +1
99 04 33 +0.56 +1 -1 -1
99 04 34 +0.10 +0 +1 +1
99 04 35 +0.10 +0 -1 -1
99 04 36 +0.56 +1 +1 +1
99 05 01 +0.56 +1 +1 +1
99 05 02 +0.18 +1 +1 +1
99 05 03 +0.18 -1 +1 +1
99 05 04 +0.10 -1 -1 -1
99 05 05 +0.32 -1 +1 +1
99 05 06 +1.00 +1 -1 -1
99 05 07 +0.00 +0 -1 +1
99 05 08 +0.00 +0 +1 +1
99 05 09 +1.00 +1 +1 +1
99 05 10 +1.00 +0 -1 -1
99 05 11 +0.10 +0 -1 -1
99 05 12 +0.32 -1 -1 -1
99 05 13 +0.56 -1 -1 -1
99 05 14 +0.56 +1 -1 -1
99 05 15 +0.00 +1 -1 +1
99 05 16 +0.00 -1 -1 -1
99 05 17 +0.00 +1 +1 +1
99 05 18 +0.56 -1 +1 +1
99 05 19 +0.56 +0 -1 -1
99 05 20 +0.32 +1 +1 +1
99 05 21 +0.18 +0 +1 +1
99 05 22 +0.00 -1 +1 -1
99 05 23 +0.18 +1 -1 +1
99 05 24 +0.10 +0 +1 +1
99 05 25 +0.56 +0 +1 +1
99 05 26 +0.32 +1 -1 -1
99 05 27 +0.18 -1 -1 -1
99 05 28 +0.18 +0 -1 -1
99 05 29 +0.10 +1 -1 +1
99 05 30 +1.00 +0 +1 +1
99 05 31 +0.32 +0 +1 +1
99 05 32 +0.10 -1 +1 +1
99 05 33 +1.00 -1 -1 -1
99 05 34 +0.32 +0 -1 -1
99 05 35 +1.00 -1 +1 +1
99 05 36 +0.10 +1 +1 +1
99 06 01 +0.10 +0 +1 +1
99 06 02 +0.18 -1 +1 +1
99 06 03 +0.32 +0 +1 +1
99 06 04 +0.00 -1 +1 +1
99 06 05 +1.00 -1 -1 -1
99 06 06 +0.32 -1 +1 +1
99 06 07 +0.56 -1 +1 +1
99 06 08 +0.18 +0 -1 -1
99 06 09 +0.10 -1 -1 +1
99 06 10 +0.00 +0 +1 -1
99 06 11 +0.32 +1 +1 +1
99 06 12 +0.32 +0 -1 -1
99 06 13 +0.18 +0 +1 +1
99 06 14 +0.32 -1 -1 -1
99 06 15 +0.10 +1 -1 -1
99 06 16 +0.56 +0 -1 -1
99 06 17 +0.00 +1 -1 +1
99 06 18 +0.18 -1 -1 -1
99 06 19 +0.10 -1 +1 +1
99 06 20 +0.32 +1 -1 -1
99 06 21 +0.10 +0 -1 -1
99 06 22 +1.00 +0 -1 -1
99 06 23 +0.56 +1 -1 -1
99 06 24 +0.18 +1 -1 -1
99 06 25 +0.00 -1 -1 +1
99 06 26 +0.10 +1 +1 -1
99 06 27 +0.56 +1 +1 +1
99 06 28 +1.00 +1 -1 -1
99 06 29 +0.00 +0 -1 +1
99 06 30 +1.00 +0 +1 +1
99 06 31 +0.56 +0 +1 +1
99 06 32 +0.18 +1 +1 +1
99 06 33 +1.00 +1 +1 +1
99 06 34 +0.56 -1 -1 -1
99 06 35 +0.00 +1 +1 +1
99 06 36 +1.00 -1 +1 +1
99 07 01 +0.56 -1 -1 -1
99 07 02 +0.18 +1 -1 +1
99 07 03 +0.18 +0 +1 +1
99 07 04 +0.10 -1 +1 +1
99 07 05 +0.32 +0 +1 +1
99 07 06 +0.00 -1 -1 -1
99 07 07 +0.00 +1 +1 +1
99 07 08 +1.00 +1 -1 -1
99 07 09 +0.32 +1 -1 -1
99 07 10 +0.00 -1 +1 +1
99 07 11 +0.10 -1 -1 -1
99 07 12 +0.32 +1 +1 +1
99 07 13 +0.32 +0 -1 -1
99 07 14 +0.10 +0 +1 +1
99 07 15 +1.00 +0 -1 -1
99 07 16 +0.32 -1 +1 +1
99 07 17 +1.00 +1 +1 +1
99 07 18 +0.18 -1 -1 -1
99 07 19 +0.56 +1 -1 -1
99 07 20 +0.10 +0 -1 +1
99 07 21 +0.56 +0 +1 +1
99 07 22 +0.18 -1 +1 +1
99 07 23 +1.00 -1 +1 +1
99 07 24 +0.32 -1 -1 -1
99 07 25 +0.00 +0 +1 +1
99 07 26 +0.18 +0 -1 -1
99 07 27 +1.00 +0 +1 +1
99 07 28 +0.56 -1 +1 +1
99 07 29 +0.10 +1 +1 +1
99 07 30 +0.56 +1 +1 +1
99 07 31 +1.00 -1 -1 -1
99 07 32 +0.00 +0 -1 +1
99 07 33 +0.18 +1 +1 +1
99 07 34 +0.00 +1 -1 +1
99 07 35 +0.56 +0 -1 -1
99 07 36 +0.10 +1 -1 +1
99 08 01 +0.18 +0 -1 -1
99 08 02 +0.32 +0 -1 -1
99 08 03 +0.10 -1 +1 +1
99 08 04 +0.00 +0 +1 +1
99 08 05 +1.00 +1 -1 -1
99 08 06 +0.56 -1 +1 +1
99 08 07 +0.00 -1 -1 -1
99 08 08 +0.10 +1 -1 +1
99 08 09 +0.32 +1 +1 +1
99 08 10 +0.56 +0 -1 -1
99 08 11 +0.32 +1 -1 -1
99 08 12 +0.18 +1 +1 +1
99 08 13 +0.32 -1 +1 +1
99 08 14 +1.00 +0 -1 -1
99 08 15 +0.10 +1 +1 -1
99 08 16 +1.00 -1 -1 -1
99 08 17 +0.56 +1 -1 -1
99 08 18 +0.18 +1 -1 -1
99 08 19 +0.32 -1 -1 -1
99 08 20 +0.10 +0 +1 +1
99 08 21 +0.18 -1 +1 +1
99 08 22 +1.00 -1 +1 +1
99 08 23 +0.10 +0 -1 -1
99 08 24 +1.00 +1 +1 +1
99 08 25 +0.00 +1 +1 +1
99 08 26 +0.00 +0 -1 +1
99 08 27 +0.10 -1 -1 -1
99 08 28 +0.00 +1 -1 -1
99 08 29 +1.00 +0 +1 +1
99 08 30 +0.56 +1 +1 +1
99 08 31 +0.56 -1 -1 -1
99 08 32 +0.18 -1 -1 +1
99 08 33 +0.18 +0 +1 +1
99 08 34 +0.32 +0 +1 +1
99 08 35 +0.00 -1 +1 -1
99 08 36 +0.56 +0 +1 +1
99 09 01 +0.32 -1 +1 +1
99 09 02 +0.18 +1 +1 +1
99 09 03 +0.18 +0 -1 +1
99 09 04 +0.10 -1 -1 -1
99 09 05 +1.00 +0 -1 -1
99 09 06 +0.18 -1 +1 +1
99 09 07 +0.10 -1 +1 +1
99 09 08 +1.00 +1 -1 -1
